,Komentar,Label,TOKENIZATION,STOP_REMOVAL,STEMMER,Komentar_Final
43,hh boleh asal mau ngasih nilai tinggi jangankan buka baju yg lain juga boleh hahh duuh parah,negatif,"['hh', 'boleh', 'asal', 'mau', 'ngasih', 'nilai', 'tinggi', 'jangankan', 'buka', 'baju', 'yg', 'lain', 'jga', 'boleh', 'hahh', 'duuh', 'parah']","['hh', 'ngasih', 'nilai', 'buka', 'baju', 'jga', 'hahh', 'duuh', 'parah']","['hh', 'ngasih', 'nilai', 'buka', 'baju', 'jga', 'hahh', 'duuh', 'parah']",hh ngasih nilai buka baju jga hahh duuh parah
44,berarti buat kalian yg pacaran gak usah takut lagi berhubungan badan kan kalian suka sama suka ,netral,"['berarti', 'buat', 'kalian', 'yg', 'pacaran', 'gak', 'usah', 'waswas', 'gy', 'berhubungan', 'badan', 'kan', 'kalian', 'suka', 'sama', 'suka']","['pacaran', 'gak', 'waswas', 'berhubungan', 'badan', 'suka', 'suka']","['pacar', 'gak', 'waswas', 'hubung', 'badan', 'suka', 'suka']",pacar gak waswas hubung badan suka suka
45,ini yg merumuskan peraturan pura bodoh atau gimana ya sepatutnya jika ada masukan di absorb jangan reaktif defense konteks munculnya persetujuan korban bisa saja persetujuan muncul semata tdk hanya sukarela tetapi bisa juga krn intimidasi alangkah lebih baik utk memaksimalkan pencegahan buatlah aturan yg tanpa celah ini aktivis anggota dewan kok pemikirannya kurang cerdas ya ingin buru membuat peraturan bukan berarti membiarkan celah revisi lebih baik kalau mmg benar ingin mencegah ,negatif,"['ini', 'yg', 'merumuskan', 'peraturan', 'pura', 'bodoh', 'atau', 'gimana', 'ya', 'sepatutnya', 'jika', 'ada', 'masukan', 'di', 'absorb', 'jngan', 'reaktif', 'defense', 'konteks', 'munculnya', 'persetujuan', 'korban', 'bsa', 'saja', 'persetujuan', 'muncul', 'semata', 'tdk', 'cuma', 'suka rela', 'tpi', 'bsa', 'jga', 'krn', 'intimidasi', 'alangkah', 'lbh', 'bae', 'utk', 'memaksimalkan', 'pencegahan', 'buatlah', 'aturan', 'yg', 'tanpa', 'celah', 'ini', 'aktifis', 'anggauta', 'dewan', 'kok', 'pemikirannya', 'kurang', 'cerdas', 'ya', 'ingin', 'buru', 'membuat', 'peraturan', 'bukan', 'berarti', 'membiarkan', 'celah', 'revisi', 'lbh', 'bae', 'klw', 'mmg', 'bnr', 'ingin', 'mencegah']","['merumuskan', 'peraturan', 'pura', 'bodoh', 'gimana', 'sepatutnya', 'masukan', 'absorb', 'jngan', 'reaktif', 'defense', 'konteks', 'munculnya', 'persetujuan', 'korban', 'bsa', 'persetujuan', 'muncul', 'tdk', 'suka rela', 'tpi', 'bsa', 'jga', 'intimidasi', 'alangkah', 'lbh', 'bae', 'memaksimalkan', 'pencegahan', 'buatlah', 'aturan', 'celah', 'aktifis', 'anggauta', 'dewan', 'pemikirannya', 'cerdas', 'buru', 'peraturan', 'membiarkan', 'celah', 'revisi', 'lbh', 'bae', 'klw', 'mmg', 'bnr', 'mencegah']","['rumus', 'atur', 'pura', 'bodoh', 'gimana', 'patut', 'masuk', 'absorb', 'jngan', 'reaktif', 'defense', 'konteks', 'muncul', 'tuju', 'korban', 'bsa', 'tuju', 'muncul', 'tdk', 'suka rela', 'tpi', 'bsa', 'jga', 'intimidasi', 'alangkah', 'lbh', 'bae', 'maksimal', 'cegah', 'buat', 'atur', 'celah', 'aktif', 'anggauta', 'dewan', 'pikir', 'cerdas', 'buru', 'atur', 'biar', 'celah', 'revisi', 'lbh', 'bae', 'klw', 'mmg', 'bnr', 'cegah']",rumus atur pura bodoh gimana patut masuk absorb jngan reaktif defense konteks muncul tuju korban bsa tuju muncul tdk suka rela tpi bsa jga intimidasi alangkah lbh bae maksimal cegah buat atur celah aktif anggauta dewan pikir cerdas buru atur biar celah revisi lbh bae klw mmg bnr cegah
46,malah terlihat bodoh mba,negatif,"['mlh', 'terlihat', 'bodoh', 'mba']","['mlh', 'bodoh', 'mba']","['mlh', 'bodoh', 'mba']",mlh bodoh mba
47,intinya zina yg belom halal baik orang tua maupun dibawah umur harus dihukum mati karna perzinaan adalah bentuk perusak alam manusia dan bumi akan jadi rusak ,negatif,"['intinya', 'zinah', 'yg', 'belom', 'halal', 'bae', 'org', 'tua', 'maupun', 'dibawah', 'umur', 'hrs', 'dihukum', 'mati', 'karna', 'perzinaan', 'adalah', 'bentuk', 'perusak', 'alam', 'manusia', 'dn', 'bumi', 'akan', 'jadi', 'rusak']","['intinya', 'zinah', 'belom', 'halal', 'bae', 'org', 'tua', 'dibawah', 'umur', 'hrs', 'dihukum', 'mati', 'karna', 'perzinaan', 'bentuk', 'perusak', 'alam', 'manusia', 'dn', 'bumi', 'rusak']","['inti', 'zinah', 'bom', 'halal', 'bae', 'org', 'tua', 'bawah', 'umur', 'hrs', 'hukum', 'mati', 'karna', 'zina', 'bentuk', 'usak', 'alam', 'manusia', 'dn', 'bumi', 'rusak']",inti zinah bom halal bae org tua bawah umur hrs hukum mati karna zina bentuk usak alam manusia dn bumi rusak
48,mungkin pembuat uu ini hobi seks bebas ,negatif,"['mungkin', 'pembuat', 'uu', 'ini', 'hobi', 'sex', 'bebas']","['pembuat', 'uu', 'hobi', 'sex', 'bebas']","['buat', 'uu', 'hobi', 'sex', 'bebas']",buat uu hobi sex bebas
49,kampus buat nuntut ilmu kalau ada kekerasan seksual atau asusila di kampus masuk delik umum gak usah di atur di pisah ,negatif,"['kampus', 'buat', 'nuntut', 'ilmu', 'klw', 'ada', 'kekerasan', 'seksual', 'atau', 'a susila', 'di', 'kampus', 'msk', 'delik', 'umum', 'gak', 'usah', 'di', 'atur', 'di', 'pisah']","['kampus', 'nuntut', 'ilmu', 'klw', 'kekerasan', 'seksual', 'a susila', 'kampus', 'msk', 'delik', 'gak', 'atur', 'pisah']","['kampus', 'nuntut', 'ilmu', 'klw', 'keras', 'seksual', 'a susila', 'kampus', 'msk', 'delik', 'gak', 'atur', 'pisah']",kampus nuntut ilmu klw keras seksual a susila kampus msk delik gak atur pisah
50,haikal lo ngak nyambung sok pintar lagi,negatif,"['haikal', 'lo', 'ngak', 'nyambung', 'sok', 'pintar', 'gy']","['haikal', 'lo', 'ngak', 'nyambung', 'sok', 'pintar']","['haikal', 'lo', 'ngak', 'nyambung', 'sok', 'pintar']",haikal lo ngak nyambung sok pintar
51,yang jelas belajar agama biar akhlak terjaga masalah jinah itu hukumnya haram lebih baik nikah kalau sudah suka sama suka ini mendikbud ingin merusak anak bangsa jika ingin anak anak ingin selamat dunia dan akherat kuliahkan atau disekolahkan ke perguruan islami ,netral,"['yg', 'jelas', 'belajar', 'agama', 'biar', 'akhlak', 'terjaga', 'masalh', 'jinah', 'itu', 'hukumnya', 'haram', 'lbh', 'bae', 'nikah', 'klw', 'sdh', 'suka', 'sama', 'suka', 'ini', 'mendikbud', 'ingin', 'merusak', 'anak', 'bangsa', 'jika', 'ingin', 'anak', 'anak', 'ingin', 'selamat', 'dunia', 'dn', 'akherat', 'kuliahkan', 'atau', 'disekolahkan', 'ke', 'perguruan', 'islami']","['belajar', 'agama', 'akhlak', 'terjaga', 'masalh', 'jinah', 'hukumnya', 'haram', 'lbh', 'bae', 'nikah', 'klw', 'suka', 'suka', 'mendikbud', 'merusak', 'anak', 'bangsa', 'anak', 'anak', 'selamat', 'dunia', 'dn', 'akherat', 'kuliahkan', 'disekolahkan', 'perguruan', 'islami']","['ajar', 'agama', 'akhlak', 'jaga', 'masalh', 'jah', 'hukum', 'haram', 'lbh', 'bae', 'nikah', 'klw', 'suka', 'suka', 'mendikbud', 'rusak', 'anak', 'bangsa', 'anak', 'anak', 'selamat', 'dunia', 'dn', 'akherat', 'kuliah', 'sekolah', 'guru', 'islami']",ajar agama akhlak jaga masalh jah hukum haram lbh bae nikah klw suka suka mendikbud rusak anak bangsa anak anak selamat dunia dn akherat kuliah sekolah guru islami
52,lagi ribut urusan selangkangan ya ,netral,"['gy', 'ribut', 'urusan', 'selangkangan', 'ya']","['ribut', 'urusan', 'selangkangan']","['ribut', 'urus', 'selangkang']",ribut urus selangkang
53,jngan aneh aneh gw punya anak masih kecil jngan smpe ngaur gara peraturan yg ga bener melenceng dari agama ,negatif,"['jngan', 'anehny', 'anehny', 'gw', 'punya', 'anak', 'masih', 'kecil', 'jngan', 'smpe', 'ngaur', 'gara', 'peraturan', 'yg', 'ga', 'bener', 'melenceng', 'dari', 'agama']","['jngan', 'anehny', 'anehny', 'gw', 'anak', 'jngan', 'smpe', 'ngaur', 'gara', 'peraturan', 'ga', 'bener', 'melenceng', 'agama']","['jngan', 'anehny', 'anehny', 'gw', 'anak', 'jngan', 'smpe', 'ngaur', 'gara', 'atur', 'ga', 'bener', 'lenceng', 'agama']",jngan anehny anehny gw anak jngan smpe ngaur gara atur ga bener lenceng agama
54,knpa pilihan presiden banyak yang berbuat kerusuhan,negatif,"['knpa', 'pilihan', 'presiden', 'byk', 'yg', 'berbuat', 'kerusuhan']","['knpa', 'pilihan', 'presiden', 'byk', 'berbuat', 'kerusuhan']","['knpa', 'pilih', 'presiden', 'byk', 'buat', 'rusuh']",knpa pilih presiden byk buat rusuh
55,haah enak nya di guwe ,netral,"['haah', 'enak', 'nya', 'di', 'guwe']","['haah', 'enak', 'guwe']","['haah', 'enak', 'guwe']",haah enak guwe
56,hebat babe haikal,netral,"['hebat', 'babe', 'haikal']","['hebat', 'babe', 'haikal']","['hebat', 'babe', 'haikal']",hebat babe haikal
57,makin ngaco aja aturan di indonesia aturan yg akan merusak generasi penerus bangsa,negatif,"['makin', 'ngaco', 'aja', 'aturan', 'di', 'indonesia', 'aturan', 'yg', 'akan', 'merusak', 'generasi', 'penerus', 'bangsa']","['ngaco', 'aturan', 'indonesia', 'aturan', 'merusak', 'generasi', 'penerus', 'bangsa']","['ngaco', 'atur', 'indonesia', 'atur', 'rusak', 'generasi', 'terus', 'bangsa']",ngaco atur indonesia atur rusak generasi terus bangsa
58,si haikal ini kebanyakan nonton ecchi ama hentai wkwkwk mana ada mahasiswi mempersilahkan dosen buka bajunya lepas semua manusia di dunia ini sama mencari keuntungan otak lo yang musti direvisi bukan undang undangnya,negatif,"['si', 'haikal', 'ini', 'kebanyakan', 'nonton', 'ecchi', 'ama', 'hentai', 'wkwkwk', 'mana', 'ada', 'mahasiswi', 'mempersilahkan', 'dosen', 'buka', 'bajunya', 'lepas', 'semua', 'manusia', 'di', 'dunia', 'ini', 'sama', 'mencari', 'keuntungan', 'otak', 'lo', 'yg', 'musti', 'direvisi', 'bukan', 'undang', 'undangnya']","['haikal', 'kebanyakan', 'nonton', 'ecchi', 'ama', 'hentai', 'wkwkwk', 'mahasiswi', 'mempersilahkan', 'dosen', 'buka', 'bajunya', 'lepas', 'manusia', 'dunia', 'mencari', 'keuntungan', 'otak', 'lo', 'musti', 'direvisi', 'undang', 'undangnya']","['haikal', 'banyak', 'nonton', 'ecchi', 'ama', 'hentai', 'wkwkwk', 'mahasiswi', 'silah', 'dosen', 'buka', 'baju', 'lepas', 'manusia', 'dunia', 'cari', 'untung', 'otak', 'lo', 'musti', 'revisi', 'undang', 'undang']",haikal banyak nonton ecchi ama hentai wkwkwk mahasiswi silah dosen buka baju lepas manusia dunia cari untung otak lo musti revisi undang undang
59,jgn sampe pemerintah macem sama anak gua kalo macem gua gebukin,negatif,"['jgn', 'sampe', 'pemerintah', 'macem', 'sama', 'anak', 'goa', 'kalo', 'macem', 'goa', 'gebukin']","['jgn', 'sampe', 'pemerintah', 'macem', 'anak', 'goa', 'macem', 'goa', 'gebukin']","['jgn', 'sampe', 'perintah', 'macem', 'anak', 'goa', 'macem', 'goa', 'gebukin']",jgn sampe perintah macem anak goa macem goa gebukin
60,ada ada aja para pejabat gak ada yg berprestasi selain bikin keruwetan ,negatif,"['ada', 'ada', 'aja', 'para', 'pejabat', 'gak', 'ada', 'yg', 'berprestasi', 'selain', 'bikin', 'keruwetan']","['pejabat', 'gak', 'berprestasi', 'keruwetan']","['jabat', 'gak', 'prestasi', 'ruwet']",jabat gak prestasi ruwet
61,kpan lagi pemerintahan jokowi ini selesai,negatif,"['kpan', 'gy', 'pemerintahan', 'jokowi', 'ini', 'selese']","['kpan', 'pemerintahan', 'jokowi', 'selese']","['kpan', 'perintah', 'jokowi', 'selese']",kpan perintah jokowi selese
62,maafkan mbak veni babe haikal dia belum paham realita yg terjadi dan dia hanya banyak belajar membaca bukan belajar dari fakta,netral,"['maafkan', 'mbak', 'veni', 'babe', 'haikal', 'dia', 'blm', 'faham', 'realita', 'yg', 'terjadi', 'dn', 'dia', 'cuma', 'byk', 'belajar', 'membaca', 'bukan', 'belajar', 'dari', 'fakta']","['maafkan', 'mbak', 'veni', 'babe', 'haikal', 'blm', 'faham', 'realita', 'dn', 'byk', 'belajar', 'membaca', 'belajar', 'fakta']","['maaf', 'mbak', 'veni', 'babe', 'haikal', 'blm', 'faham', 'realita', 'dn', 'byk', 'ajar', 'baca', 'ajar', 'fakta']",maaf mbak veni babe haikal blm faham realita dn byk ajar baca ajar fakta
63,wanita itu tanpa persetujuan jadi korban setuju juga korban ,netral,"['wanita', 'itu', 'tanpa', 'persetujuan', 'jadi', 'korban', 'setuju', 'jga', 'korban']","['wanita', 'persetujuan', 'korban', 'setuju', 'jga', 'korban']","['wanita', 'tuju', 'korban', 'tuju', 'jga', 'korban']",wanita tuju korban tuju jga korban
64,badan sm otak nya krng seimbang jd pikiran nya ga realita babe haikal cerdas melindungi kaum wanita ,netral,"['badan', 'sm', 'otak', 'nya', 'krng', 'seimbang', 'jd', 'pikiran', 'nya', 'ga', 'realita', 'babe', 'haikal', 'cerdas', 'melindungi', 'kaum', 'wanita']","['badan', 'sm', 'otak', 'krng', 'seimbang', 'jd', 'pikiran', 'ga', 'realita', 'babe', 'haikal', 'cerdas', 'melindungi', 'kaum', 'wanita']","['badan', 'sm', 'otak', 'krng', 'imbang', 'jd', 'pikir', 'ga', 'realita', 'babe', 'haikal', 'cerdas', 'lindung', 'kaum', 'wanita']",badan sm otak krng imbang jd pikir ga realita babe haikal cerdas lindung kaum wanita
65,tidk bisa di pungkiri kalau kadrun ini otaknya selangkangan melulu gila  bidadari biadab ,negatif,"['tidk', 'bsa', 'di', 'pungkiri', 'klw', 'kadrun', 'ini', 'otaknya', 'selangkangan', 'melulu', 'gila', 'bidadari', 'biadab']","['tidk', 'bsa', 'pungkiri', 'klw', 'kadrun', 'otaknya', 'selangkangan', 'melulu', 'gila', 'bidadari', 'biadab']","['tidk', 'bsa', 'pungkiri', 'klw', 'kadrun', 'otak', 'selangkang', 'melulu', 'gila', 'bidadari', 'biadab']",tidk bsa pungkiri klw kadrun otak selangkang melulu gila bidadari biadab
66, tanpa persetujuan wkk cerdas klo anak perempuan lo setuju boleh anak lo gw genjot ,negatif,"['tanpa', 'persetujuan', 'wkk', 'cerdas', 'klo', 'anak', 'perempuan', 'lo', 'setuju', 'boleh', 'anak', 'lo', 'gw', 'genjot']","['persetujuan', 'wkk', 'cerdas', 'anak', 'perempuan', 'lo', 'setuju', 'anak', 'lo', 'gw', 'genjot']","['tuju', 'wkk', 'cerdas', 'anak', 'perempuan', 'lo', 'tuju', 'anak', 'lo', 'gw', 'genjot']",tuju wkk cerdas anak perempuan lo tuju anak lo gw genjot
67,tu wanita yg gembrot kliatnya lom pernah pny pacar jd ngebet pngen mesum,negatif,"['tu', 'wanita', 'yg', 'gembrot', 'kliatnya', 'lom', 'pernah', 'pny', 'pacar', 'jd', 'ngebet', 'pngen', 'mesum']","['wanita', 'gembrot', 'kliatnya', 'lom', 'pny', 'pacar', 'jd', 'ngebet', 'pngen', 'mesum']","['wanita', 'gembrot', 'kliatnya', 'lom', 'pny', 'pacar', 'jd', 'ngebet', 'pngen', 'mesum']",wanita gembrot kliatnya lom pny pacar jd ngebet pngen mesum
68,coba lho pade kemarin nonton mata najwa disitu jelas forumnya berbobot narasumber pun pas sesuai substansi yg dibahas ,netral,"['coba', 'lho', 'pade', 'kemarin', 'nonton', 'mata', 'najwa', 'disitu', 'jelas', 'forumnya', 'berbobot', 'nara', 'pun', 'pas', 'sesuai', 'substansi', 'yg', 'dibahas']","['coba', 'lho', 'pade', 'kemarin', 'nonton', 'mata', 'najwa', 'disitu', 'forumnya', 'berbobot', 'nara', 'sesuai', 'substansi', 'dibahas']","['coba', 'lho', 'pade', 'kemarin', 'nonton', 'mata', 'najwa', 'situ', 'forum', 'bobot', 'nara', 'sesuai', 'substansi', 'bahas']",coba lho pade kemarin nonton mata najwa situ forum bobot nara sesuai substansi bahas
69,haikal hasan dapat sebutan babe yang jadi ciri khas betawi apa ada kah si haikal ini punya garis keturunan dari orang betawi ,netral,"['haikal', 'hasan', 'dpt', 'sebutan', 'babe', 'yg', 'jadi', 'ciri', 'khas', 'betawi', 'aoa', 'ada', 'kah', 'si', 'haikal', 'ini', 'punya', 'garis', 'keturunan', 'dari', 'org', 'betawi']","['haikal', 'hasan', 'dpt', 'sebutan', 'babe', 'ciri', 'khas', 'betawi', 'aoa', 'haikal', 'garis', 'keturunan', 'org', 'betawi']","['haikal', 'hasan', 'dpt', 'sebut', 'babe', 'ciri', 'khas', 'betawi', 'aoa', 'haikal', 'garis', 'turun', 'org', 'betawi']",haikal hasan dpt sebut babe ciri khas betawi aoa haikal garis turun org betawi
70,ya allah tokang ojol di jadikan mintri akibatnx mau merusak masa depan anak bangsa innalillahi weinnalillahi rojion ,negatif,"['ya', 'allah', 'tokang', 'ojol', 'di', 'jadikan', 'mintri', 'akibatnx', 'mau', 'merusak', 'masa', 'depan', 'anak', 'bangsa', 'innalillahi', 'weinnalillahi', 'rojion']","['allah', 'tokang', 'ojol', 'jadikan', 'mintri', 'akibatnx', 'merusak', 'anak', 'bangsa', 'innalillahi', 'weinnalillahi', 'rojion']","['allah', 'tokang', 'ojol', 'jadi', 'mintri', 'akibatnx', 'rusak', 'anak', 'bangsa', 'innalillahi', 'weinnalillahi', 'rojion']",allah tokang ojol jadi mintri akibatnx rusak anak bangsa innalillahi weinnalillahi rojion
71,cukup zinai saja istrinya nadim atau anak nadim boleh gk,negatif,"['cukup', 'zinai', 'saja', 'istrinya', 'nadim', 'atau', 'anak', 'nadim', 'boleh', 'gk']","['zinai', 'istrinya', 'nadim', 'anak', 'nadim', 'gk']","['zina', 'istri', 'nadim', 'anak', 'nadim', 'gk']",zina istri nadim anak nadim gk
72,mbak baju putih tidak melihat kasus mahasiswi yang menjajahkan dirinya apa itu bukan fakta udahlah bu kenapa tidak mau lihat pencegahan berdasarkan agama,netral,"['mbak', 'baju', 'putih', 'ndak', 'melihat', 'kasus', 'mahasiswi', 'yg', 'menjajahkan', 'dirinya', 'aoa', 'itu', 'bukan', 'fakta', 'udahlah', 'bu', 'knp', 'ndak', 'mau', 'lihat', 'pencegahan', 'berdasarkan', 'agama']","['mbak', 'baju', 'putih', 'ndak', 'mahasiswi', 'menjajahkan', 'aoa', 'fakta', 'udahlah', 'bu', 'knp', 'ndak', 'lihat', 'pencegahan', 'berdasarkan', 'agama']","['mbak', 'baju', 'putih', 'ndak', 'mahasiswi', 'jajah', 'aoa', 'fakta', 'udahlah', 'bu', 'knp', 'ndak', 'lihat', 'cegah', 'dasar', 'agama']",mbak baju putih ndak mahasiswi jajah aoa fakta udahlah bu knp ndak lihat cegah dasar agama
73,peraturan gendeng,negatif,"['peraturan', 'gendeng']","['peraturan', 'gendeng']","['atur', 'gendeng']",atur gendeng
74,koruptor lebih tdk asu sila kah ,negatif,"['koruptor', 'lbh', 'tdk', 'asu', 'sila', 'kah']","['koruptor', 'lbh', 'tdk', 'asu', 'sila']","['koruptor', 'lbh', 'tdk', 'asu', 'sila']",koruptor lbh tdk asu sila
75,haikal otaknya masum,negatif,"['haikal', 'otaknya', 'masum']","['haikal', 'otaknya', 'masum']","['haikal', 'otak', 'masum']",haikal otak masum
76,aktivis perempuan feminism kalau ya jangan didenger lah kaum logical fallacy ,netral,"['aktifis', 'perempuan', 'feminism', 'klw', 'ya', 'jngan', 'didenger', 'lah', 'kaum', 'logical', 'fallacy']","['aktifis', 'perempuan', 'feminism', 'klw', 'jngan', 'didenger', 'kaum', 'logical', 'fallacy']","['aktif', 'perempuan', 'feminism', 'klw', 'jngan', 'didenger', 'kaum', 'logical', 'fallacy']",aktif perempuan feminism klw jngan didenger kaum logical fallacy
77,jangan hiraukan aturan sex bebas kalau ini di jalnkan insaallh genderasi selamat kalau dipatuhi aturan yang telah dilegalkan oleh mendikbut dan disyahkan oleh menag negara akan hancur banyak yang akan bunting pertanyaannya apakah istri atau anak anda bersedia di setubuhi ,positif,"['jngan', 'hiraukan', 'aturan', 'sex', 'bebas', 'klw', 'ini', 'di', 'jalnkan', 'insaallh', 'genderasi', 'selamat', 'klw', 'dipatuhi', 'aturan', 'yg', 'telah', 'dilegalkan', 'oleh', 'mendikbut', 'dn', 'disyahkan', 'oleh', 'menag', 'negara', 'akan', 'hancur', 'byk', 'yg', 'akan', 'bunting', 'pertanyaannya', 'apakah', 'isteri', 'atau', 'anak', 'anda', 'bersedia', 'di', 'setubuhi']","['jngan', 'hiraukan', 'aturan', 'sex', 'bebas', 'klw', 'jalnkan', 'insaallh', 'genderasi', 'selamat', 'klw', 'dipatuhi', 'aturan', 'dilegalkan', 'mendikbut', 'dn', 'disyahkan', 'menag', 'negara', 'hancur', 'byk', 'bunting', 'pertanyaannya', 'isteri', 'anak', 'bersedia', 'setubuhi']","['jngan', 'hirau', 'atur', 'sex', 'bebas', 'klw', 'jalnkan', 'insaallh', 'genderasi', 'selamat', 'klw', 'patuh', 'atur', 'legal', 'mendikbut', 'dn', 'syah', 'menag', 'negara', 'hancur', 'byk', 'bunting', 'tanya', 'isteri', 'anak', 'sedia', 'tubuh']",jngan hirau atur sex bebas klw jalnkan insaallh genderasi selamat klw patuh atur legal mendikbut dn syah menag negara hancur byk bunting tanya isteri anak sedia tubuh
78,nadiem terlalu lama tinggal di luar negri jadi kurang memahamai bahasa indonesia yg baik dan benar,negatif,"['nadiem', 'terlalu', 'lama', 'tinggal', 'di', 'luar', 'negri', 'jadi', 'kurang', 'memahamai', 'bahasa', 'indonesia', 'yg', 'bae', 'dn', 'bnr']","['nadiem', 'tinggal', 'negri', 'memahamai', 'bahasa', 'indonesia', 'bae', 'dn', 'bnr']","['nadiem', 'tinggal', 'negri', 'memahamai', 'bahasa', 'indonesia', 'bae', 'dn', 'bnr']",nadiem tinggal negri memahamai bahasa indonesia bae dn bnr
79,suka sama sukakan asusila mbak,negatif,"['suka', 'sama', 'sukakan', 'a susila', 'mbak']","['suka', 'sukakan', 'a susila', 'mbak']","['suka', 'suka', 'a susila', 'mbak']",suka suka a susila mbak
80,semoga permendikbudristek dimusyawarahkan secara baik dgn tokoh agama tokoh masyarakat agar tiap kebijakan yg dibuat memperkecil masalah yg baru atas keresahan yg bisa timbul di masyarakat ,netral,"['semoga', 'permendikbudristek', 'dimusyawarahkan', 'secara', 'bae', 'dgn', 'tokoh', 'agama', 'tokoh', 'masyarakat', 'agar', 'tiap', 'kebijakan', 'yg', 'dibuat', 'memperkecil', 'masalh', 'yg', 'baru', 'atas', 'keresahan', 'yg', 'bsa', 'timbul', 'di', 'masyarakat']","['semoga', 'permendikbudristek', 'dimusyawarahkan', 'bae', 'tokoh', 'agama', 'tokoh', 'masyarakat', 'kebijakan', 'memperkecil', 'masalh', 'keresahan', 'bsa', 'timbul', 'masyarakat']","['moga', 'permendikbudristek', 'musyawarah', 'bae', 'tokoh', 'agama', 'tokoh', 'masyarakat', 'bijak', 'kecil', 'masalh', 'resah', 'bsa', 'timbul', 'masyarakat']",moga permendikbudristek musyawarah bae tokoh agama tokoh masyarakat bijak kecil masalh resah bsa timbul masyarakat
81,nilai dan budaya sdh bergeser di peraturan itu skrg asal suka sama suka bisa apa sj bahkan dipayungi hukum ,negatif,"['nilai', 'dn', 'budaya', 'sdh', 'bergeser', 'di', 'peraturan', 'itu', 'skrg', 'asal', 'suka', 'sama', 'suka', 'bsa', 'aoa', 'sj', 'bahkan', 'dipayungi', 'hukum']","['nilai', 'dn', 'budaya', 'bergeser', 'peraturan', 'skrg', 'suka', 'suka', 'bsa', 'aoa', 'sj', 'dipayungi', 'hukum']","['nilai', 'dn', 'budaya', 'geser', 'atur', 'skrg', 'suka', 'suka', 'bsa', 'aoa', 'sj', 'payung', 'hukum']",nilai dn budaya geser atur skrg suka suka bsa aoa sj payung hukum
82,gass terus babe jangan sampai permen iblis ini do goalkan sama orang otak liberal dan sungsang kasih peljaran terus ini perempuan luruskan otaknya yg salah ,negatif,"['gass', 'terus', 'babe', 'jngan', 'sampek', 'permen', 'iblis', 'ini', 'do', 'goalkan', 'sama', 'org', 'otak', 'liberal', 'dn', 'sungsang', 'kasih', 'peljaran', 'terus', 'ini', 'perempuan', 'luruskan', 'otaknya', 'yg', 'salah']","['gass', 'babe', 'jngan', 'sampek', 'permen', 'iblis', 'do', 'goalkan', 'org', 'otak', 'liberal', 'dn', 'sungsang', 'kasih', 'peljaran', 'perempuan', 'luruskan', 'otaknya', 'salah']","['gass', 'babe', 'jngan', 'sampek', 'permen', 'iblis', 'do', 'goalkan', 'org', 'otak', 'liberal', 'dn', 'sungsang', 'kasih', 'peljaran', 'perempuan', 'lurus', 'otak', 'salah']",gass babe jngan sampek permen iblis do goalkan org otak liberal dn sungsang kasih peljaran perempuan lurus otak salah
83,haikal ini sebenarnya apa posisinya sehingga dia bisa di undang dlm forum ini ,netral,"['haikal', 'ini', 'sebenarnya', 'aoa', 'posisinya', 'sehingga', 'dia', 'bsa', 'di', 'undang', 'dlm', 'forum', 'ini']","['haikal', 'aoa', 'posisinya', 'bsa', 'undang', 'dlm', 'forum']","['haikal', 'aoa', 'posisi', 'bsa', 'undang', 'dlm', 'forum']",haikal aoa posisi bsa undang dlm forum
84,babe haikal kan pernah bermimpi ketemu nabi muhammad saw ,netral,"['babe', 'haikal', 'kan', 'pernah', 'bermimpi', 'ketemu', 'nabi', 'muhammad', 'saw']","['babe', 'haikal', 'bermimpi', 'ketemu', 'nabi', 'muhammad', 'saw']","['babe', 'haikal', 'mimpi', 'ketemu', 'nabi', 'muhammad', 'saw']",babe haikal mimpi ketemu nabi muhammad saw
