,Komentar,Label,TOKENIZATION,STOP_REMOVAL,STEMMER,Komentar_Final
172,dewi sriyati ngedongeng bu kyknya gk faham bahas tau teriak dukung teriakin gak faham substansi bicara ckckck,positif,"['dewi', 'sriyati', 'ngedongeng', 'sih', 'bu', 'kyknya', 'gk', 'faham', 'bahas', 'taunya', 'teriak', 'dukung', 'teriakin', 'gak', 'faham', 'substansi', 'dibicarakan', 'ckckck']","['dewi', 'sriyati', 'ngedongeng', 'bu', 'kyknya', 'gk', 'faham', 'bahas', 'taunya', 'teriak', 'dukung', 'teriakin', 'gak', 'faham', 'substansi', 'dibicarakan', 'ckckck']","['dewi', 'sriyati', 'ngedongeng', 'bu', 'kyknya', 'gk', 'faham', 'bahas', 'tau', 'teriak', 'dukung', 'teriakin', 'gak', 'faham', 'substansi', 'bicara', 'ckckck']",dewi sriyati ngedongeng bu kyknya gk faham bahas tau teriak dukung teriakin gak faham substansi bicara ckckck
173,dewi sriyati kasi kalah debat serang personal paham makan berita goreng,negatif,"['dewi', 'sriyati', 'kasian', 'ibu', 'kalah', 'debat', 'serang', 'personal', 'pahami', 'ibu', 'kemakan', 'berita', 'gorengan']","['dewi', 'sriyati', 'kasian', 'kalah', 'debat', 'serang', 'personal', 'pahami', 'kemakan', 'berita', 'gorengan']","['dewi', 'sriyati', 'kasi', 'kalah', 'debat', 'serang', 'personal', 'paham', 'makan', 'berita', 'goreng']",dewi sriyati kasi kalah debat serang personal paham makan berita goreng
174,gak aborsi larang rekomendasi dokter,negatif,"['gak', 'tu', 'aborsi', 'melarang', 'rekomendasi', 'dokter']","['gak', 'aborsi', 'melarang', 'rekomendasi', 'dokter']","['gak', 'aborsi', 'larang', 'rekomendasi', 'dokter']",gak aborsi larang rekomendasi dokter
175,logika liar ga sex bebas iya ga moril nyalahin permen,negatif,"['logika', 'liar', 'ga', 'sex', 'bebas', 'iya', 'ga', 'moril', 'nyalahin', 'permen']","['logika', 'liar', 'ga', 'sex', 'bebas', 'iya', 'ga', 'moril', 'nyalahin', 'permen']","['logika', 'liar', 'ga', 'sex', 'bebas', 'iya', 'ga', 'moril', 'nyalahin', 'permen']",logika liar ga sex bebas iya ga moril nyalahin permen
176,dukung sepenuh syarat frase tuju korban hapus permendikbud bentrok atur undang a susila nama korban korban tuju laku keras seksual suka suka sex bebas legal permendikbud kontra a susila lai situ permasalahanya,negatif,"['mendukung', 'sepenuhnya', 'syarat', 'frase', 'persetujuan', 'korban', 'dihapus', 'permendikbud', 'bentrok', 'peraturan', 'undang', 'a susila', 'dinamakan', 'korban', 'si', 'korban', 'menyetujui', 'si', 'pelaku', 'kekerasan', 'seksual', 'suka', 'suka', 'sex', 'bebas', 'dilegalkan', 'permendikbud', 'kontra', 'a susila', 'lainya', 'disitulah', 'permasalahanya']","['mendukung', 'sepenuhnya', 'syarat', 'frase', 'persetujuan', 'korban', 'dihapus', 'permendikbud', 'bentrok', 'peraturan', 'undang', 'a susila', 'dinamakan', 'korban', 'korban', 'menyetujui', 'pelaku', 'kekerasan', 'seksual', 'suka', 'suka', 'sex', 'bebas', 'dilegalkan', 'permendikbud', 'kontra', 'a susila', 'lainya', 'disitulah', 'permasalahanya']","['dukung', 'sepenuh', 'syarat', 'frase', 'tuju', 'korban', 'hapus', 'permendikbud', 'bentrok', 'atur', 'undang', 'a susila', 'nama', 'korban', 'korban', 'tuju', 'laku', 'keras', 'seksual', 'suka', 'suka', 'sex', 'bebas', 'legal', 'permendikbud', 'kontra', 'a susila', 'lai', 'situ', 'permasalahanya']",dukung sepenuh syarat frase tuju korban hapus permendikbud bentrok atur undang a susila nama korban korban tuju laku keras seksual suka suka sex bebas legal permendikbud kontra a susila lai situ permasalahanya
177,keras lembut syah cegah inget sila tuhan maha esa atur agama utama,positif,"['keras', 'lembut', 'syah', 'cegah', 'inget', 'sila', 'ketuhanan', 'maha', 'esa', 'aturan', 'agama', 'utamakan']","['keras', 'lembut', 'syah', 'cegah', 'inget', 'sila', 'ketuhanan', 'maha', 'esa', 'aturan', 'agama', 'utamakan']","['keras', 'lembut', 'syah', 'cegah', 'inget', 'sila', 'tuhan', 'maha', 'esa', 'atur', 'agama', 'utama']",keras lembut syah cegah inget sila tuhan maha esa atur agama utama
178,dian chanel agama saudara laki laki,negatif,"['dian', 'chanel', 'agama', 'saudara', 'laki', 'laki']","['dian', 'chanel', 'agama', 'saudara', 'laki', 'laki']","['dian', 'chanel', 'agama', 'saudara', 'laki', 'laki']",dian chanel agama saudara laki laki
179,buka wafat nabi muhamad kategori jaman nabi wafat hinga depan msk jaman,positif,"['bukanya', 'wafatnya', 'nabi', 'muhamad', 'dikategorikan', 'jaman', 'nabi', 'wafat', 'hinga', 'kedepan', 'msk', 'jaman']","['bukanya', 'wafatnya', 'nabi', 'muhamad', 'dikategorikan', 'jaman', 'nabi', 'wafat', 'hinga', 'kedepan', 'msk', 'jaman']","['buka', 'wafat', 'nabi', 'muhamad', 'kategori', 'jaman', 'nabi', 'wafat', 'hinga', 'depan', 'msk', 'jaman']",buka wafat nabi muhamad kategori jaman nabi wafat hinga depan msk jaman
180,lho memang dukung laku keras seksual nyata salah,positif,"['lho', 'memangnya', 'mendukung', 'pelaku', 'kekerasan', 'seksual', 'dinyatakan', 'bersalah']","['lho', 'memangnya', 'mendukung', 'pelaku', 'kekerasan', 'seksual', 'dinyatakan', 'bersalah']","['lho', 'memang', 'dukung', 'laku', 'keras', 'seksual', 'nyata', 'salah']",lho memang dukung laku keras seksual nyata salah
181,kalimat tunjuk zinah legal permendikbud bu,negatif,"['kalimat', 'menunjukan', 'zinah', 'dilegalkan', 'permendikbud', 'bu']","['kalimat', 'menunjukan', 'zinah', 'dilegalkan', 'permendikbud', 'bu']","['kalimat', 'tunjuk', 'zinah', 'legal', 'permendikbud', 'bu']",kalimat tunjuk zinah legal permendikbud bu
182,amin,positif,['amin'],['amin'],['amin'],amin
183,nyumpahin gin ngucap,netral,"['nyumpahin', 'gini', 'ngucap', 'sih']","['nyumpahin', 'gini', 'ngucap']","['nyumpahin', 'gin', 'ngucap']",nyumpahin gin ngucap
184,muhamad dzulfiqar ok mengangap permendikbudristek gak legal zinah permendikbud ditandatangani mendikbudristek maf anda mahasiswa cium mahasiswi tutup kampus mahasiswi tuju buat tahu lai buat dalem pelangaran tindak lanjut permendikbudristek,positif,"['muhamad', 'dzulfiqar', 'ok', 'mengangap', 'permendikbudristek', 'gak', 'melegalkan', 'zinah', 'permendikbud', 'ditandatangani', 'mendikbudristek', 'maf', 'seandainya', 'mahasiswa', 'mencium', 'mahasiswi', 'tertutup', 'kampus', 'mahasiswi', 'setuju', 'perbuatan', 'ketahuan', 'lainya', 'perbuatan', 'dalem', 'pelangaran', 'ditindak', 'lanjuti', 'permendikbudristek']","['muhamad', 'dzulfiqar', 'ok', 'mengangap', 'permendikbudristek', 'gak', 'melegalkan', 'zinah', 'permendikbud', 'ditandatangani', 'mendikbudristek', 'maf', 'seandainya', 'mahasiswa', 'mencium', 'mahasiswi', 'tertutup', 'kampus', 'mahasiswi', 'setuju', 'perbuatan', 'ketahuan', 'lainya', 'perbuatan', 'dalem', 'pelangaran', 'ditindak', 'lanjuti', 'permendikbudristek']","['muhamad', 'dzulfiqar', 'ok', 'mengangap', 'permendikbudristek', 'gak', 'legal', 'zinah', 'permendikbud', 'ditandatangani', 'mendikbudristek', 'maf', 'anda', 'mahasiswa', 'cium', 'mahasiswi', 'tutup', 'kampus', 'mahasiswi', 'tuju', 'buat', 'tahu', 'lai', 'buat', 'dalem', 'pelangaran', 'tindak', 'lanjut', 'permendikbudristek']",muhamad dzulfiqar ok mengangap permendikbudristek gak legal zinah permendikbud ditandatangani mendikbudristek maf anda mahasiswa cium mahasiswi tutup kampus mahasiswi tuju buat tahu lai buat dalem pelangaran tindak lanjut permendikbudristek
185,muhamad farhan atur cegah tangan keras seksual atur tindak a susila kampus beda tuju korban hukum tindak a susila larang tuju hapus korban tindak keras seksual hukum diamenyetujui tindak lindung korban hukum tindak a susila larang korban keras seksual libat dalem tindak a susila tuju buat korban pemaksan hukum laku keras seksual,negatif,"['muhamad', 'farhan', 'peraturan', 'pencegahan', 'penanganan', 'kekerasan', 'seksual', 'aturan', 'tindakan', 'a susila', 'kampus', 'berbeda', 'persetujuan', 'korban', 'dihukum', 'tindakan', 'a susila', 'dilarang', 'persetujuan', 'dihapus', 'maka', 'korban', 'tindakan', 'kekerasan', 'seksual', 'dihukum', 'diamenyetujui', 'tindakan', 'maka', 'perlindungan', 'korban', 'dihukum', 'tindakan', 'a susila', 'dilarang', 'maka', 'korban', 'kekerasan', 'seksual', 'terlibat', 'dalem', 'tindakan', 'a susila', 'menyetujui', 'perbuatan', 'korban', 'pemaksan', 'dihukum', 'pelaku', 'kekerasan', 'seksual']","['muhamad', 'farhan', 'peraturan', 'pencegahan', 'penanganan', 'kekerasan', 'seksual', 'aturan', 'tindakan', 'a susila', 'kampus', 'berbeda', 'persetujuan', 'korban', 'dihukum', 'tindakan', 'a susila', 'dilarang', 'persetujuan', 'dihapus', 'korban', 'tindakan', 'kekerasan', 'seksual', 'dihukum', 'diamenyetujui', 'tindakan', 'perlindungan', 'korban', 'dihukum', 'tindakan', 'a susila', 'dilarang', 'korban', 'kekerasan', 'seksual', 'terlibat', 'dalem', 'tindakan', 'a susila', 'menyetujui', 'perbuatan', 'korban', 'pemaksan', 'dihukum', 'pelaku', 'kekerasan', 'seksual']","['muhamad', 'farhan', 'atur', 'cegah', 'tangan', 'keras', 'seksual', 'atur', 'tindak', 'a susila', 'kampus', 'beda', 'tuju', 'korban', 'hukum', 'tindak', 'a susila', 'larang', 'tuju', 'hapus', 'korban', 'tindak', 'keras', 'seksual', 'hukum', 'diamenyetujui', 'tindak', 'lindung', 'korban', 'hukum', 'tindak', 'a susila', 'larang', 'korban', 'keras', 'seksual', 'libat', 'dalem', 'tindak', 'a susila', 'tuju', 'buat', 'korban', 'pemaksan', 'hukum', 'laku', 'keras', 'seksual']",muhamad farhan atur cegah tangan keras seksual atur tindak a susila kampus beda tuju korban hukum tindak a susila larang tuju hapus korban tindak keras seksual hukum diamenyetujui tindak lindung korban hukum tindak a susila larang korban keras seksual libat dalem tindak a susila tuju buat korban pemaksan hukum laku keras seksual
186,asalamualaikum muhamad dzulfiqar iya permendikbudristek permen tangan cegah seksual maf iya permendikbud frase tuju korban dalem pasal mahasiswa cium bibir mahasiswi pacar mengosokan kelam mahasiswi pacar tutup kampus mahasiswi pacar tuju buat tahu pelangaran gak ditindaklanjuti mahasiswi pacar tuju permendikbudristek beda mahasiswi pacar gak tuju pelangaran tindak lanjut permendikbudristek maf jahat keras seksual akibat buat tindak seksual tentang nilai norma nilai norma agama akar keras jahat seksual trmksh wasalamu alaikum,positif,"['asalamualaikum', 'muhamad', 'dzulfiqar', 'iya', 'permendikbudristek', 'permen', 'penanganan', 'pencegahan', 'seksual', 'maf', 'iya', 'permendikbud', 'frase', 'persetujuan', 'korban', 'dalem', 'pasal', 'maka', 'mahasiswa', 'mencium', 'bibir', 'mahasiswi', 'pacarnya', 'mengosokan', 'kelaminya', 'mahasiswi', 'pacarnya', 'tertutup', 'kampus', 'mahasiswi', 'pacarnya', 'setuju', 'perbuatan', 'ketahuan', 'maka', 'pelangaran', 'gak', 'ditindaklanjuti', 'mahasiswi', 'pacarnya', 'setuju', 'permendikbudristek', 'berbeda', 'mahasiswi', 'pacarnya', 'gak', 'setuju', 'maka', 'pelangaran', 'ditindak', 'lanjuti', 'permendikbudristek', 'maf', 'kejahatan', 'kekerasan', 'seksual', 'akibat', 'berawal', 'perbuatan', 'tindakan', 'seksual', 'bertentangan', 'nilai', 'norma', 'nilai', 'norma', 'agama', 'akar', 'kekerasan', 'kejahatan', 'seksual', 'trmksh', 'wasalamu', 'alaikum']","['asalamualaikum', 'muhamad', 'dzulfiqar', 'iya', 'permendikbudristek', 'permen', 'penanganan', 'pencegahan', 'seksual', 'maf', 'iya', 'permendikbud', 'frase', 'persetujuan', 'korban', 'dalem', 'pasal', 'mahasiswa', 'mencium', 'bibir', 'mahasiswi', 'pacarnya', 'mengosokan', 'kelaminya', 'mahasiswi', 'pacarnya', 'tertutup', 'kampus', 'mahasiswi', 'pacarnya', 'setuju', 'perbuatan', 'ketahuan', 'pelangaran', 'gak', 'ditindaklanjuti', 'mahasiswi', 'pacarnya', 'setuju', 'permendikbudristek', 'berbeda', 'mahasiswi', 'pacarnya', 'gak', 'setuju', 'pelangaran', 'ditindak', 'lanjuti', 'permendikbudristek', 'maf', 'kejahatan', 'kekerasan', 'seksual', 'akibat', 'perbuatan', 'tindakan', 'seksual', 'bertentangan', 'nilai', 'norma', 'nilai', 'norma', 'agama', 'akar', 'kekerasan', 'kejahatan', 'seksual', 'trmksh', 'wasalamu', 'alaikum']","['asalamualaikum', 'muhamad', 'dzulfiqar', 'iya', 'permendikbudristek', 'permen', 'tangan', 'cegah', 'seksual', 'maf', 'iya', 'permendikbud', 'frase', 'tuju', 'korban', 'dalem', 'pasal', 'mahasiswa', 'cium', 'bibir', 'mahasiswi', 'pacar', 'mengosokan', 'kelam', 'mahasiswi', 'pacar', 'tutup', 'kampus', 'mahasiswi', 'pacar', 'tuju', 'buat', 'tahu', 'pelangaran', 'gak', 'ditindaklanjuti', 'mahasiswi', 'pacar', 'tuju', 'permendikbudristek', 'beda', 'mahasiswi', 'pacar', 'gak', 'tuju', 'pelangaran', 'tindak', 'lanjut', 'permendikbudristek', 'maf', 'jahat', 'keras', 'seksual', 'akibat', 'buat', 'tindak', 'seksual', 'tentang', 'nilai', 'norma', 'nilai', 'norma', 'agama', 'akar', 'keras', 'jahat', 'seksual', 'trmksh', 'wasalamu', 'alaikum']",asalamualaikum muhamad dzulfiqar iya permendikbudristek permen tangan cegah seksual maf iya permendikbud frase tuju korban dalem pasal mahasiswa cium bibir mahasiswi pacar mengosokan kelam mahasiswi pacar tutup kampus mahasiswi pacar tuju buat tahu pelangaran gak ditindaklanjuti mahasiswi pacar tuju permendikbudristek beda mahasiswi pacar gak tuju pelangaran tindak lanjut permendikbudristek maf jahat keras seksual akibat buat tindak seksual tentang nilai norma nilai norma agama akar keras jahat seksual trmksh wasalamu alaikum
187,muhamad farhan permnedikbudristek ulang fokus tangan cegah keras seksual latar banyak keras seksual selesai adil korban keras seksual kampus penyelesaina lindung korban permendikbudristek selesai keras seksual kampus studi tindak keras seksual tindak a susila bicara keras korban korban rugi laku sebab rugi tuju tindak korban laku tindak a susila kampus kode etik kampus kait tindak a susila kuhp lindung anak cerita permendikbudristek tuju atur tindak a susila lingkung kampus beda letak legal zinah atur,positif,"['muhamad', 'farhan', 'permnedikbudristek', 'ulangi', 'berfokus', 'penanganan', 'pencegahan', 'kekerasan', 'seksual', 'berlatar', 'belakang', 'banyaknya', 'kekerasan', 'seksual', 'penyelesaian', 'keadilan', 'korban', 'kekerasan', 'seksual', 'kampus', 'penyelesaina', 'perlindungan', 'korban', 'permendikbudristek', 'menyelesaikan', 'kekerasan', 'seksual', 'kampus', 'studi', 'kasus', 'kira', 'kasus', 'tindakan', 'kekerasan', 'seksual', 'tindakan', 'a susila', 'membicarakan', 'kekerasan', 'korban', 'korban', 'dirugikan', 'pelaku', 'menyebabkan', 'kerugian', 'setuju', 'tindakan', 'korban', 'pelaku', 'tindakan', 'a susila', 'dikampus', 'kode', 'etik', 'kampus', 'terkait', 'tindakan', 'a susila', 'kuhp', 'perlindungan', 'anak', 'cerita', 'permendikbudristek', 'bertujuan', 'mengatur', 'tindakan', 'a susila', 'lingkungan', 'kampus', 'berbeda', 'letaknya', 'pelegalan', 'zinah', 'aturan']","['muhamad', 'farhan', 'permnedikbudristek', 'ulangi', 'berfokus', 'penanganan', 'pencegahan', 'kekerasan', 'seksual', 'berlatar', 'banyaknya', 'kekerasan', 'seksual', 'penyelesaian', 'keadilan', 'korban', 'kekerasan', 'seksual', 'kampus', 'penyelesaina', 'perlindungan', 'korban', 'permendikbudristek', 'menyelesaikan', 'kekerasan', 'seksual', 'kampus', 'studi', 'tindakan', 'kekerasan', 'seksual', 'tindakan', 'a susila', 'membicarakan', 'kekerasan', 'korban', 'korban', 'dirugikan', 'pelaku', 'menyebabkan', 'kerugian', 'setuju', 'tindakan', 'korban', 'pelaku', 'tindakan', 'a susila', 'dikampus', 'kode', 'etik', 'kampus', 'terkait', 'tindakan', 'a susila', 'kuhp', 'perlindungan', 'anak', 'cerita', 'permendikbudristek', 'bertujuan', 'mengatur', 'tindakan', 'a susila', 'lingkungan', 'kampus', 'berbeda', 'letaknya', 'pelegalan', 'zinah', 'aturan']","['muhamad', 'farhan', 'permnedikbudristek', 'ulang', 'fokus', 'tangan', 'cegah', 'keras', 'seksual', 'latar', 'banyak', 'keras', 'seksual', 'selesai', 'adil', 'korban', 'keras', 'seksual', 'kampus', 'penyelesaina', 'lindung', 'korban', 'permendikbudristek', 'selesai', 'keras', 'seksual', 'kampus', 'studi', 'tindak', 'keras', 'seksual', 'tindak', 'a susila', 'bicara', 'keras', 'korban', 'korban', 'rugi', 'laku', 'sebab', 'rugi', 'tuju', 'tindak', 'korban', 'laku', 'tindak', 'a susila', 'kampus', 'kode', 'etik', 'kampus', 'kait', 'tindak', 'a susila', 'kuhp', 'lindung', 'anak', 'cerita', 'permendikbudristek', 'tuju', 'atur', 'tindak', 'a susila', 'lingkung', 'kampus', 'beda', 'letak', 'legal', 'zinah', 'atur']",muhamad farhan permnedikbudristek ulang fokus tangan cegah keras seksual latar banyak keras seksual selesai adil korban keras seksual kampus penyelesaina lindung korban permendikbudristek selesai keras seksual kampus studi tindak keras seksual tindak a susila bicara keras korban korban rugi laku sebab rugi tuju tindak korban laku tindak a susila kampus kode etik kampus kait tindak a susila kuhp lindung anak cerita permendikbudristek tuju atur tindak a susila lingkung kampus beda letak legal zinah atur
188,asalamualaikum muhamad dzulfiqar maf kuhp zinah syah maf saudara anda mahasiswa cium bibir mahasiswi pacar mengosokan kelam tubuh mahasiswi pacar tutup kampus mahasiswi pacar tuju tahu lai buat mahasiswa pelangaran tindak lanjut permendikbudristek maf saudara kuhp perzinahan syah,positif,"['asalamualaikum', 'muhamad', 'dzulfiqar', 'maf', 'kuhp', 'zinah', 'disyahkan', 'maf', 'saudaraku', 'seandainya', 'mahasiswa', 'mencium', 'bibir', 'mahasiswi', 'pacarnya', 'mengosokan', 'kelaminya', 'bagian', 'tubuh', 'mahasiswi', 'pacarnya', 'tertutup', 'kampus', 'mahasiswi', 'pacarnya', 'setuju', 'ketahuan', 'lainya', 'pebuatan', 'mahasiswa', 'pelangaran', 'ditindak', 'lanjuti', 'permendikbudristek', 'maf', 'saudaraku', 'kuhp', 'perzinahan', 'disyahkan']","['asalamualaikum', 'muhamad', 'dzulfiqar', 'maf', 'kuhp', 'zinah', 'disyahkan', 'maf', 'saudaraku', 'seandainya', 'mahasiswa', 'mencium', 'bibir', 'mahasiswi', 'pacarnya', 'mengosokan', 'kelaminya', 'tubuh', 'mahasiswi', 'pacarnya', 'tertutup', 'kampus', 'mahasiswi', 'pacarnya', 'setuju', 'ketahuan', 'lainya', 'pebuatan', 'mahasiswa', 'pelangaran', 'ditindak', 'lanjuti', 'permendikbudristek', 'maf', 'saudaraku', 'kuhp', 'perzinahan', 'disyahkan']","['asalamualaikum', 'muhamad', 'dzulfiqar', 'maf', 'kuhp', 'zinah', 'syah', 'maf', 'saudara', 'anda', 'mahasiswa', 'cium', 'bibir', 'mahasiswi', 'pacar', 'mengosokan', 'kelam', 'tubuh', 'mahasiswi', 'pacar', 'tutup', 'kampus', 'mahasiswi', 'pacar', 'tuju', 'tahu', 'lai', 'buat', 'mahasiswa', 'pelangaran', 'tindak', 'lanjut', 'permendikbudristek', 'maf', 'saudara', 'kuhp', 'perzinahan', 'syah']",asalamualaikum muhamad dzulfiqar maf kuhp zinah syah maf saudara anda mahasiswa cium bibir mahasiswi pacar mengosokan kelam tubuh mahasiswi pacar tutup kampus mahasiswi pacar tuju tahu lai buat mahasiswa pelangaran tindak lanjut permendikbudristek maf saudara kuhp perzinahan syah
189,muhamad farhan permendikbudristek atur tangan cegah keras seksual kampus atur tindak a susila kampus lahir latar atas studi pandang atas atur tindak a susila indonesia permendikbudristek legal zinah,positif,"['muhamad', 'farhan', 'permendikbudristek', 'mengatur', 'penanganan', 'pencegahan', 'kekerasan', 'seksual', 'dikampus', 'mengatur', 'tindakan', 'a susila', 'dikampus', 'lahir', 'latar', 'belakang', 'diatas', 'studi', 'kasus', 'jelaskan', 'pandangan', 'diatas', 'mengatur', 'tindakan', 'a susila', 'indonesia', 'permendikbudristek', 'pelegalan', 'zinah']","['muhamad', 'farhan', 'permendikbudristek', 'mengatur', 'penanganan', 'pencegahan', 'kekerasan', 'seksual', 'dikampus', 'mengatur', 'tindakan', 'a susila', 'dikampus', 'lahir', 'latar', 'diatas', 'studi', 'pandangan', 'diatas', 'mengatur', 'tindakan', 'a susila', 'indonesia', 'permendikbudristek', 'pelegalan', 'zinah']","['muhamad', 'farhan', 'permendikbudristek', 'atur', 'tangan', 'cegah', 'keras', 'seksual', 'kampus', 'atur', 'tindak', 'a susila', 'kampus', 'lahir', 'latar', 'atas', 'studi', 'pandang', 'atas', 'atur', 'tindak', 'a susila', 'indonesia', 'permendikbudristek', 'legal', 'zinah']",muhamad farhan permendikbudristek atur tangan cegah keras seksual kampus atur tindak a susila kampus lahir latar atas studi pandang atas atur tindak a susila indonesia permendikbudristek legal zinah
190,asalamualaikum muhamad dzulfiqar maf mahasiswa cium bibir mahasiswi tutup tuju kait kampus buat mahasiswa pelangaran tindak lanjut permendikbudristek maf iya bicara permendikbud atur lai trmksh wasalamu alaikum,positif,"['asalamualaikum', 'muhamad', 'dzulfiqar', 'maf', 'mahasiswa', 'mencium', 'bibir', 'mahasiswi', 'tertutup', 'persetujuan', 'terkait', 'kampus', 'perbuatan', 'mahasiswa', 'pelangaran', 'ditindak', 'lanjuti', 'permendikbudristek', 'maf', 'iya', 'bicara', 'permendikbud', 'peraturan', 'lainya', 'trmksh', 'wasalamu', 'alaikum']","['asalamualaikum', 'muhamad', 'dzulfiqar', 'maf', 'mahasiswa', 'mencium', 'bibir', 'mahasiswi', 'tertutup', 'persetujuan', 'terkait', 'kampus', 'perbuatan', 'mahasiswa', 'pelangaran', 'ditindak', 'lanjuti', 'permendikbudristek', 'maf', 'iya', 'bicara', 'permendikbud', 'peraturan', 'lainya', 'trmksh', 'wasalamu', 'alaikum']","['asalamualaikum', 'muhamad', 'dzulfiqar', 'maf', 'mahasiswa', 'cium', 'bibir', 'mahasiswi', 'tutup', 'tuju', 'kait', 'kampus', 'buat', 'mahasiswa', 'pelangaran', 'tindak', 'lanjut', 'permendikbudristek', 'maf', 'iya', 'bicara', 'permendikbud', 'atur', 'lai', 'trmksh', 'wasalamu', 'alaikum']",asalamualaikum muhamad dzulfiqar maf mahasiswa cium bibir mahasiswi tutup tuju kait kampus buat mahasiswa pelangaran tindak lanjut permendikbudristek maf iya bicara permendikbud atur lai trmksh wasalamu alaikum
191,asalamualaikum kodil chanel maf mahasiswa cium bibir mahasiswi tutup tuju kait kampus buat mahasiswa pelangaran tindak lanjut permendikbudristek maf iya bicara permendikbud atur lai trmksh wasalamu alaikum,positif,"['asalamualaikum', 'kodil', 'chanel', 'maf', 'mahasiswa', 'mencium', 'bibir', 'mahasiswi', 'tertutup', 'persetujuan', 'terkait', 'kampus', 'perbuatan', 'mahasiswa', 'pelangaran', 'ditindak', 'lanjuti', 'permendikbudristek', 'maf', 'iya', 'bicara', 'permendikbud', 'peraturan', 'lainya', 'trmksh', 'wasalamu', 'alaikum']","['asalamualaikum', 'kodil', 'chanel', 'maf', 'mahasiswa', 'mencium', 'bibir', 'mahasiswi', 'tertutup', 'persetujuan', 'terkait', 'kampus', 'perbuatan', 'mahasiswa', 'pelangaran', 'ditindak', 'lanjuti', 'permendikbudristek', 'maf', 'iya', 'bicara', 'permendikbud', 'peraturan', 'lainya', 'trmksh', 'wasalamu', 'alaikum']","['asalamualaikum', 'kodil', 'chanel', 'maf', 'mahasiswa', 'cium', 'bibir', 'mahasiswi', 'tutup', 'tuju', 'kait', 'kampus', 'buat', 'mahasiswa', 'pelangaran', 'tindak', 'lanjut', 'permendikbudristek', 'maf', 'iya', 'bicara', 'permendikbud', 'atur', 'lai', 'trmksh', 'wasalamu', 'alaikum']",asalamualaikum kodil chanel maf mahasiswa cium bibir mahasiswi tutup tuju kait kampus buat mahasiswa pelangaran tindak lanjut permendikbudristek maf iya bicara permendikbud atur lai trmksh wasalamu alaikum
192,muhamad farhan studi iya sebelumya trmksh,positif,"['muhamad', 'farhan', 'studi', 'kasus', 'jawab', 'iya', 'sebelumya', 'trmksh']","['muhamad', 'farhan', 'studi', 'iya', 'sebelumya', 'trmksh']","['muhamad', 'farhan', 'studi', 'iya', 'sebelumya', 'trmksh']",muhamad farhan studi iya sebelumya trmksh
193,bingung faham syariat risikoberikhtilath,netral,"['bingung', 'faham', 'syariat', 'risikoberikhtilath']","['bingung', 'faham', 'syariat', 'risikoberikhtilath']","['bingung', 'faham', 'syariat', 'risikoberikhtilath']",bingung faham syariat risikoberikhtilath
194,mingu sholat jum at imam khotbah kaya tabayun baca bnr baca main klaim permendikbudristek legal zinah hadeh nyesel jumat,positif,"['mingu', 'pas', 'sholat', ""jum'at"", 'imam', 'khotbahnya', 'kaya', 'tabayun', 'baca', 'bnr', 'baca', 'kasus', 'main', 'klaim', 'permendikbudristek', 'melegalkan', 'zinah', 'hadeh', 'nyesel', 'jumatan']","['mingu', 'sholat', ""jum'at"", 'imam', 'khotbahnya', 'kaya', 'tabayun', 'baca', 'bnr', 'baca', 'main', 'klaim', 'permendikbudristek', 'melegalkan', 'zinah', 'hadeh', 'nyesel', 'jumatan']","['mingu', 'sholat', 'jum at', 'imam', 'khotbah', 'kaya', 'tabayun', 'baca', 'bnr', 'baca', 'main', 'klaim', 'permendikbudristek', 'legal', 'zinah', 'hadeh', 'nyesel', 'jumat']",mingu sholat jum at imam khotbah kaya tabayun baca bnr baca main klaim permendikbudristek legal zinah hadeh nyesel jumat
195,mengmangtap kentu,netral,"['mengmangtap', 'kentu']","['mengmangtap', 'kentu']","['mengmangtap', 'kentu']",mengmangtap kentu
196,pola pikir sempit sex bebas budaya open bo kalang mahasiswi teman ane ayam kampus kampus uin pagi kerudung malam buka warung,negatif,"['pola', 'pemikiran', 'sempit', 'sex', 'bebas', 'budaya', 'open', 'bo', 'kalangan', 'mahasiswi', 'tuh', 'teman', 'ane', 'ayam', 'kampus', 'kampus', 'uin', 'paginya', 'berkerudung', 'malamnya', 'buka', 'warung']","['pola', 'pemikiran', 'sempit', 'sex', 'bebas', 'budaya', 'open', 'bo', 'kalangan', 'mahasiswi', 'teman', 'ane', 'ayam', 'kampus', 'kampus', 'uin', 'paginya', 'berkerudung', 'malamnya', 'buka', 'warung']","['pola', 'pikir', 'sempit', 'sex', 'bebas', 'budaya', 'open', 'bo', 'kalang', 'mahasiswi', 'teman', 'ane', 'ayam', 'kampus', 'kampus', 'uin', 'pagi', 'kerudung', 'malam', 'buka', 'warung']",pola pikir sempit sex bebas budaya open bo kalang mahasiswi teman ane ayam kampus kampus uin pagi kerudung malam buka warung
