,Unnamed: 0,Komentar,Label,TOKENIZATION,STOP_REMOVAL,STEMMER,Komentar_Final,sentiment
54,54,hahaha pks takut kalau anggotanya digaruk permen ini dgn dalih macam ,netral,"['hahaha', 'pks', 'takut', 'kalau', 'anggotanya', 'digaruk', 'permen', 'ini', 'dgn', 'dalih', 'macam']","['hahaha', 'pks', 'takut', 'anggotanya', 'digaruk', 'permen', 'dalih']","['hahaha', 'pks', 'takut', 'anggota', 'garuk', 'permen', 'dalih']",hahaha pks takut anggota garuk permen dalih,0.0
55,55,lanjutkan pak menteri dgn permendikbudristek itu klo ada yang robah ya tunggu aja,positif,"['lanjutkan', 'pak', 'menteri', 'dgn', 'permendikbudristek', 'itu', 'klo', 'ada', 'yang', 'robah', 'ya', 'tunggu', 'aja']","['lanjutkan', 'menteri', 'permendikbudristek', 'robah', 'tunggu']","['lanjut', 'menteri', 'permendikbudristek', 'robah', 'tunggu']",lanjut menteri permendikbudristek robah tunggu,1.0
56,56,trgantung anaknya ortunya yg paling penring ortu mndidik anak ahklak yg utama tr bukti kjadian ortu ketat anak yg trjerumus banyak yg orrunya biasa  saja anak  selamat tr hindar dari pr gaulan bbas aku punya anak cewe dua alhamdulilah tamat kuliah bidanan duanya trlepas prgaulan bebas intinya nasip rezeki anak perbuatan ortu kalau saya mnyikapi jangan sekali  di kasih makan dengan jlan yg tidak halal apa lagi koropsi so oasti dampak anak jangan salahkan anak renungi sudah bagus kah kita ortu ahklak cari jlanya rezeki ,netral,"['trgantung', 'anaknya', 'ortunya', 'yg', 'paling', 'penring', 'ortu', 'mndidik', 'anak', 'ahklak', 'yg', 'utama', 'tr', 'bukti', 'kjadian', 'ortu', 'ketat', 'anak', 'yg', 'trjerumus', 'banyak', 'yg', 'orrunya', 'biasa', 'saja', 'anak', 'selamat', 'tr', 'hindar', 'dari', 'pr', 'gaulan', 'bbas', 'aku', 'punya', 'anak', 'cewe', 'dua', 'alhamdulilah', 'tamat', 'kuliah', 'bidanan', 'duanya', 'trlepas', 'prgaulan', 'bebas', 'intinya', 'nasip', 'rezeki', 'anak', 'perbuatan', 'ortu', 'kalau', 'saya', 'mnyikapi', 'jangan', 'sekali', 'di', 'kasih', 'makan', 'dengan', 'jlan', 'yg', 'tidak', 'halal', 'apa', 'lagi', 'koropsi', 'so', 'oasti', 'dampak', 'anak', 'jangan', 'salahkan', 'anak', 'renungi', 'sudah', 'bagus', 'kah', 'kita', 'ortu', 'ahklak', 'cari', 'jlanya', 'rezeki']","['trgantung', 'anaknya', 'ortunya', 'penring', 'ortu', 'mndidik', 'anak', 'ahklak', 'utama', 'tr', 'bukti', 'kjadian', 'ortu', 'ketat', 'anak', 'trjerumus', 'orrunya', 'anak', 'selamat', 'tr', 'hindar', 'pr', 'gaulan', 'bbas', 'anak', 'cewe', 'alhamdulilah', 'tamat', 'kuliah', 'bidanan', 'duanya', 'trlepas', 'prgaulan', 'bebas', 'intinya', 'nasip', 'rezeki', 'anak', 'perbuatan', 'ortu', 'mnyikapi', 'jangan', 'kasih', 'makan', 'jlan', 'tidak', 'halal', 'koropsi', 'so', 'oasti', 'dampak', 'anak', 'jangan', 'salahkan', 'anak', 'renungi', 'bagus', 'ortu', 'ahklak', 'cari', 'jlanya', 'rezeki']","['trgantung', 'anak', 'ortunya', 'penring', 'ortu', 'mndidik', 'anak', 'ahklak', 'utama', 'tr', 'bukti', 'kjadian', 'ortu', 'ketat', 'anak', 'trjerumus', 'orrunya', 'anak', 'selamat', 'tr', 'hindar', 'pr', 'gaul', 'bbas', 'anak', 'cewe', 'alhamdulilah', 'tamat', 'kuliah', 'bidan', 'dua', 'trlepas', 'prgaulan', 'bebas', 'inti', 'nasip', 'rezeki', 'anak', 'buat', 'ortu', 'mnyikapi', 'jangan', 'kasih', 'makan', 'jlan', 'tidak', 'halal', 'koropsi', 'so', 'oasti', 'dampak', 'anak', 'jangan', 'salah', 'anak', 'renung', 'bagus', 'ortu', 'ahklak', 'cari', 'jlanya', 'rezeki']",trgantung anak ortunya penring ortu mndidik anak ahklak utama tr bukti kjadian ortu ketat anak trjerumus orrunya anak selamat tr hindar pr gaul bbas anak cewe alhamdulilah tamat kuliah bidan dua trlepas prgaulan bebas inti nasip rezeki anak buat ortu mnyikapi jangan kasih makan jlan tidak halal koropsi so oasti dampak anak jangan salah anak renung bagus ortu ahklak cari jlanya rezeki,0.0
57,57,beettuull ,positif,['beettuull'],['beettuull'],['beettuull'],beettuull,2.0
58,58,miris banget gasi ,negatif,"['miris', 'banget', 'gasi']","['miris', 'banget', 'gasi']","['miris', 'banget', 'gas']",miris banget gas,0.0
59,59,menurut hukum logika tsb bener loh apabila undang undang hanya mengatur tentang senjata tajam dan tidak mengatur tentang senjata api maka kesimpulannya senjata api diperbolehkan argumentum contrario ,positif,"['menurut', 'hukum', 'logika', 'tsb', 'bener', 'loh', 'apabila', 'undang', 'undang', 'hanya', 'mengatur', 'tentang', 'senjata', 'tajam', 'dan', 'tidak', 'mengatur', 'tentang', 'senjata', 'api', 'maka', 'kesimpulannya', 'senjata', 'api', 'diperbolehkan', 'argumentum', 'contrario']","['hukum', 'logika', 'tsb', 'bener', 'undang', 'undang', 'mengatur', 'senjata', 'tajam', 'tidak', 'mengatur', 'senjata', 'api', 'kesimpulannya', 'senjata', 'api', 'diperbolehkan', 'argumentum', 'contrario']","['hukum', 'logika', 'tsb', 'bener', 'undang', 'undang', 'atur', 'senjata', 'tajam', 'tidak', 'atur', 'senjata', 'api', 'simpul', 'senjata', 'api', 'boleh', 'argumentum', 'contrario']",hukum logika tsb bener undang undang atur senjata tajam tidak atur senjata api simpul senjata api boleh argumentum contrario,1.0
60,60, dewangga putra tidak mengatur bukan berarti mengadvokasi melegalkan bisa jadi ada hukuman yang lebih luas umum mengatur intinya terkait legalitas perzinahan konsensual di kampus sebelum sesudah terbit permendikbud masih sama tidak dilegalisasi illegalisasi,positif,"['dewangga', 'putra', 'tidak', 'mengatur', 'bukan', 'berarti', 'mengadvokasi', 'melegalkan', 'bisa', 'jadi', 'ada', 'hukuman', 'yang', 'lebih', 'luas', 'umum', 'mengatur', 'intinya', 'terkait', 'legalitas', 'perzinahan', 'konsensual', 'di', 'kampus', 'sebelum', 'sesudah', 'terbit', 'permendikbud', 'masih', 'sama', 'tidak', 'dilegalisasi', 'illegalisasi']","['dewangga', 'putra', 'tidak', 'mengatur', 'mengadvokasi', 'melegalkan', 'hukuman', 'luas', 'mengatur', 'intinya', 'terkait', 'legalitas', 'perzinahan', 'konsensual', 'kampus', 'terbit', 'permendikbud', 'tidak', 'dilegalisasi', 'illegalisasi']","['dewangga', 'putra', 'tidak', 'atur', 'advokasi', 'legal', 'hukum', 'luas', 'atur', 'inti', 'kait', 'legalitas', 'perzinahan', 'konsensual', 'kampus', 'terbit', 'permendikbud', 'tidak', 'legalisasi', 'illegalisasi']",dewangga putra tidak atur advokasi legal hukum luas atur inti kait legalitas perzinahan konsensual kampus terbit permendikbud tidak legalisasi illegalisasi,1.0
61,61, muhammad hashirama lah kata siapa tidak mengatur bukan berarti melegalkan itu kan kata ku sendiri coba sekarang buka google baca apa itu asas legalitas dalam hukum selama belum ada peraturan yang melarangnya berarti suatu perbuatan dianggap legal ,netral,"['muhammad', 'hashirama', 'lah', 'kata', 'siapa', 'tidak', 'mengatur', 'bukan', 'berarti', 'melegalkan', 'itu', 'kan', 'kata', 'ku', 'sendiri', 'coba', 'sekarang', 'buka', 'google', 'baca', 'apa', 'itu', 'asas', 'legalitas', 'dalam', 'hukum', 'selama', 'belum', 'ada', 'peraturan', 'yang', 'melarangnya', 'berarti', 'suatu', 'perbuatan', 'dianggap', 'legal']","['muhammad', 'hashirama', 'tidak', 'mengatur', 'melegalkan', 'coba', 'buka', 'google', 'baca', 'asas', 'legalitas', 'hukum', 'belum', 'peraturan', 'melarangnya', 'perbuatan', 'dianggap', 'legal']","['muhammad', 'hashirama', 'tidak', 'atur', 'legal', 'coba', 'buka', 'google', 'baca', 'asas', 'legalitas', 'hukum', 'belum', 'atur', 'larang', 'buat', 'anggap', 'legal']",muhammad hashirama tidak atur legal coba buka google baca asas legalitas hukum belum atur larang buat anggap legal,0.0
62,62,suka sama suka atas perbuatan jinah sdh ada perundangan dan aturannya klu suka sama suka itu bukan kekerasan,negatif,"['suka', 'sama', 'suka', 'atas', 'perbuatan', 'jinah', 'sdh', 'ada', 'perundangan', 'dan', 'aturannya', 'klu', 'suka', 'sama', 'suka', 'itu', 'bukan', 'kekerasan']","['suka', 'suka', 'perbuatan', 'jinah', 'perundangan', 'aturannya', 'klu', 'suka', 'suka', 'kekerasan']","['suka', 'suka', 'buat', 'jah', 'undang', 'atur', 'klu', 'suka', 'suka', 'keras']",suka suka buat jah undang atur klu suka suka keras,1.0
63,63,kuhp setiap orang yang melakukan persetubuhan dengan orang yang bukan suami atau istrinya dipidana karena perzinaan dengan pidana penjara paling lama  satu tahun atau denda kategori ii ,netral,"['kuhp', 'setiap', 'orang', 'yang', 'melakukan', 'persetubuhan', 'dengan', 'orang', 'yang', 'bukan', 'suami', 'atau', 'istrinya', 'dipidana', 'karena', 'perzinaan', 'dengan', 'pidana', 'penjara', 'paling', 'lama', 'satu', 'tahun', 'atau', 'denda', 'kategori', 'ii']","['kuhp', 'orang', 'persetubuhan', 'orang', 'suami', 'istrinya', 'dipidana', 'perzinaan', 'pidana', 'penjara', 'denda', 'kategori', 'ii']","['kuhp', 'orang', 'tubuh', 'orang', 'suami', 'istri', 'pidana', 'zina', 'pidana', 'penjara', 'denda', 'kategori', 'ii']",kuhp orang tubuh orang suami istri pidana zina pidana penjara denda kategori ii,0.0
64,64,makanya di buat permendikbud karna banyaknya pelaporan juga kasus yg semakin darurat di bikinlah perendikbud yg menjadi badan hukum tentang kekerasan seksual yg slama belum ada karna realita kejadian justru korban slalu di rugika dalam setiap kasus ketika di melapor karna tidak adanya uu perlindungan terhadap pelecehan ,positif,"['makanya', 'di', 'buat', 'permendikbud', 'karna', 'banyaknya', 'pelaporan', 'juga', 'kasus', 'yg', 'semakin', 'darurat', 'di', 'bikinlah', 'perendikbud', 'yg', 'menjadi', 'badan', 'hukum', 'tentang', 'kekerasan', 'seksual', 'yg', 'slama', 'belum', 'ada', 'karna', 'realita', 'kejadian', 'justru', 'korban', 'slalu', 'di', 'rugika', 'dalam', 'setiap', 'kasus', 'ketika', 'di', 'melapor', 'karna', 'tidak', 'adanya', 'uu', 'perlindungan', 'terhadap', 'pelecehan']","['permendikbud', 'karna', 'banyaknya', 'pelaporan', 'darurat', 'bikinlah', 'perendikbud', 'badan', 'hukum', 'kekerasan', 'seksual', 'slama', 'belum', 'karna', 'realita', 'kejadian', 'korban', 'slalu', 'rugika', 'melapor', 'karna', 'tidak', 'uu', 'perlindungan', 'pelecehan']","['permendikbud', 'karna', 'banyak', 'lapor', 'darurat', 'bikin', 'perendikbud', 'badan', 'hukum', 'keras', 'seksual', 'slama', 'belum', 'karna', 'realita', 'jadi', 'korban', 'slalu', 'rugika', 'lapor', 'karna', 'tidak', 'uu', 'lindung', 'leceh']",permendikbud karna banyak lapor darurat bikin perendikbud badan hukum keras seksual slama belum karna realita jadi korban slalu rugika lapor karna tidak uu lindung leceh,1.0
65,65,klo istrimu anakmu setuju sy gauli itu kekerasan sexual tidak ,netral,"['klo', 'istrimu', 'anakmu', 'setuju', 'sy', 'gauli', 'itu', 'kekerasan', 'sexual', 'tidak']","['istrimu', 'anakmu', 'setuju', 'sy', 'gauli', 'kekerasan', 'sexual', 'tidak']","['istri', 'anak', 'tuju', 'sy', 'gaul', 'keras', 'sexual', 'tidak']",istri anak tuju sy gaul keras sexual tidak,0.0
66,66, ridwan basuki perselingkuhan dikenakan pasal  kuhp pemerkosaan dikenakan pasal  kuhp prostitusi dikenakan pasal  kuhp namun kegiatan seperti yang diatur dalam permendikbud dikti  tahun  pasal  ini memang adalah kejahatan yang belum ada ketentuan hukum nya selama ini kita memang tidak bisa menuntut apa yang dimuat dalam pasal ke  kekerasan seksual verbal kekerasan seksual non penetrasi pengintip body shaming tindak grepe grepe dan untuk itu lah permen ini hadir bahkan dalam kasus penyebaran photo video pribadi tanpa izin pun itu kerap menjadikan korban sebagai terpidana bila anda mendengar pola pikir politikus pks anda termasuk golongan mesum ,netral,"['ridwan', 'basuki', 'perselingkuhan', 'dikenakan', 'pasal', 'kuhp', 'pemerkosaan', 'dikenakan', 'pasal', 'kuhp', 'prostitusi', 'dikenakan', 'pasal', 'kuhp', 'namun', 'kegiatan', 'seperti', 'yang', 'diatur', 'dalam', 'permendikbud', 'dikti', 'tahun', 'pasal', 'ini', 'memang', 'adalah', 'kejahatan', 'yang', 'belum', 'ada', 'ketentuan', 'hukum', 'nya', 'selama', 'ini', 'kita', 'memang', 'tidak', 'bisa', 'menuntut', 'apa', 'yang', 'dimuat', 'dalam', 'pasal', 'ke', 'kekerasan', 'seksual', 'verbal', 'kekerasan', 'seksual', 'non', 'penetrasi', 'pengintip', 'body', 'shaming', 'tindak', 'grepe', 'grepe', 'dan', 'untuk', 'itu', 'lah', 'permen', 'ini', 'hadir', 'bahkan', 'dalam', 'kasus', 'penyebaran', 'photo', 'video', 'pribadi', 'tanpa', 'izin', 'pun', 'itu', 'kerap', 'menjadikan', 'korban', 'sebagai', 'terpidana', 'bila', 'anda', 'mendengar', 'pola', 'pikir', 'politikus', 'pks', 'anda', 'termasuk', 'golongan', 'mesum']","['ridwan', 'basuki', 'perselingkuhan', 'dikenakan', 'pasal', 'kuhp', 'pemerkosaan', 'dikenakan', 'pasal', 'kuhp', 'prostitusi', 'dikenakan', 'pasal', 'kuhp', 'kegiatan', 'diatur', 'permendikbud', 'dikti', 'pasal', 'kejahatan', 'belum', 'ketentuan', 'hukum', 'tidak', 'menuntut', 'dimuat', 'pasal', 'kekerasan', 'seksual', 'verbal', 'kekerasan', 'seksual', 'non', 'penetrasi', 'pengintip', 'body', 'shaming', 'tindak', 'grepe', 'grepe', 'permen', 'hadir', 'penyebaran', 'photo', 'video', 'pribadi', 'izin', 'kerap', 'menjadikan', 'korban', 'terpidana', 'mendengar', 'pola', 'pikir', 'politikus', 'pks', 'golongan', 'mesum']","['ridwan', 'basuki', 'selingkuh', 'kena', 'pasal', 'kuhp', 'perkosa', 'kena', 'pasal', 'kuhp', 'prostitusi', 'kena', 'pasal', 'kuhp', 'giat', 'atur', 'permendikbud', 'dikti', 'pasal', 'jahat', 'belum', 'tentu', 'hukum', 'tidak', 'tuntut', 'muat', 'pasal', 'keras', 'seksual', 'verbal', 'keras', 'seksual', 'non', 'penetrasi', 'intip', 'body', 'shaming', 'tindak', 'grepe', 'grepe', 'permen', 'hadir', 'sebar', 'photo', 'video', 'pribadi', 'izin', 'kerap', 'jadi', 'korban', 'pidana', 'dengar', 'pola', 'pikir', 'politikus', 'pks', 'golong', 'mesum']",ridwan basuki selingkuh kena pasal kuhp perkosa kena pasal kuhp prostitusi kena pasal kuhp giat atur permendikbud dikti pasal jahat belum tentu hukum tidak tuntut muat pasal keras seksual verbal keras seksual non penetrasi intip body shaming tindak grepe grepe permen hadir sebar photo video pribadi izin kerap jadi korban pidana dengar pola pikir politikus pks golong mesum,0.0
67,67, ridwan basuki dalam pasal  kuhp baik korban maupun pelaku kekerasan seksual akan dipidana paling lama  tahun begitu pun bila kegiatan seksual itu didasari rasa suka sama suka namun dengan permendikbud ini korban tidak perlu terkena sanksi hukum cukup pelaku ,netral,"['ridwan', 'basuki', 'dalam', 'pasal', 'kuhp', 'baik', 'korban', 'maupun', 'pelaku', 'kekerasan', 'seksual', 'akan', 'dipidana', 'paling', 'lama', 'tahun', 'begitu', 'pun', 'bila', 'kegiatan', 'seksual', 'itu', 'didasari', 'rasa', 'suka', 'sama', 'suka', 'namun', 'dengan', 'permendikbud', 'ini', 'korban', 'tidak', 'perlu', 'terkena', 'sanksi', 'hukum', 'cukup', 'pelaku']","['ridwan', 'basuki', 'pasal', 'kuhp', 'korban', 'pelaku', 'kekerasan', 'seksual', 'dipidana', 'kegiatan', 'seksual', 'didasari', 'suka', 'suka', 'permendikbud', 'korban', 'tidak', 'terkena', 'sanksi', 'hukum', 'pelaku']","['ridwan', 'basuki', 'pasal', 'kuhp', 'korban', 'laku', 'keras', 'seksual', 'pidana', 'giat', 'seksual', 'dasar', 'suka', 'suka', 'permendikbud', 'korban', 'tidak', 'kena', 'sanksi', 'hukum', 'laku']",ridwan basuki pasal kuhp korban laku keras seksual pidana giat seksual dasar suka suka permendikbud korban tidak kena sanksi hukum laku,0.0
68,68, breakpoint tv aku tdk butuh narasimu yg panjang lebar itu yg aku butuhkan hanya hapuskan  kata itu tanpa persetujuan korban titik permendikbud  itu sdh ok kecuali  kata itu apa susahnya menghapus  kata itu ,negatif,"['breakpoint', 'tv', 'aku', 'tdk', 'butuh', 'narasimu', 'yg', 'panjang', 'lebar', 'itu', 'yg', 'aku', 'butuhkan', 'hanya', 'hapuskan', 'kata', 'itu', 'tanpa', 'persetujuan', 'korban', 'titik', 'permendikbud', 'itu', 'sdh', 'ok', 'kecuali', 'kata', 'itu', 'apa', 'susahnya', 'menghapus', 'kata', 'itu']","['breakpoint', 'tv', 'tdk', 'butuh', 'narasimu', 'lebar', 'butuhkan', 'hapuskan', 'persetujuan', 'korban', 'titik', 'permendikbud', 'ok', 'kecuali', 'susahnya', 'menghapus']","['breakpoint', 'tv', 'tdk', 'butuh', 'narasi', 'lebar', 'butuh', 'hapus', 'tuju', 'korban', 'titik', 'permendikbud', 'ok', 'kecuali', 'susah', 'hapus']",breakpoint tv tdk butuh narasi lebar butuh hapus tuju korban titik permendikbud ok kecuali susah hapus,0.0
69,69, ridwan basuki artinya kamu setuju bila seks bebas dilarang tapi pemerkosaan diperbolehkan gitu kan mau nya kamu ,netral,"['ridwan', 'basuki', 'artinya', 'kamu', 'setuju', 'bila', 'seks', 'bebas', 'dilarang', 'tapi', 'pemerkosaan', 'diperbolehkan', 'gitu', 'kan', 'mau', 'nya', 'kamu']","['ridwan', 'basuki', 'setuju', 'seks', 'bebas', 'dilarang', 'pemerkosaan', 'diperbolehkan', 'gitu']","['ridwan', 'basuki', 'tuju', 'seks', 'bebas', 'larang', 'perkosa', 'boleh', 'gitu']",ridwan basuki tuju seks bebas larang perkosa boleh gitu,1.0
70,70, ridwan basuki kalau  kata itu dihapus perbedaan dengan pasal  kuhp itu apa ngapain buat aturan lagi kalau toh sama dengan yang sudah ada ,negatif,"['ridwan', 'basuki', 'kalau', 'kata', 'itu', 'dihapus', 'perbedaan', 'dengan', 'pasal', 'kuhp', 'itu', 'apa', 'ngapain', 'buat', 'aturan', 'lagi', 'kalau', 'toh', 'sama', 'dengan', 'yang', 'sudah', 'ada']","['ridwan', 'basuki', 'dihapus', 'perbedaan', 'pasal', 'kuhp', 'ngapain', 'aturan']","['ridwan', 'basuki', 'hapus', 'beda', 'pasal', 'kuhp', 'ngapain', 'atur']",ridwan basuki hapus beda pasal kuhp ngapain atur,0.0
71,71, breakpoint tv menrisex agar anggaran bs dikeluarkan dg alasan hasil penelitian ,positif,"['breakpoint', 'tv', 'menrisex', 'agar', 'anggaran', 'bs', 'dikeluarkan', 'dg', 'alasan', 'hasil', 'penelitian']","['breakpoint', 'tv', 'menrisex', 'anggaran', 'bs', 'dikeluarkan', 'alasan', 'hasil', 'penelitian']","['breakpoint', 'tv', 'menrisex', 'anggar', 'bs', 'keluar', 'alas', 'hasil', 'teliti']",breakpoint tv menrisex anggar bs keluar alas hasil teliti,2.0
72,72, m indra kenapa menrisex yg bikin payung hukum apa dah gak percaya dg hukum yg ada bahwa pemerkosa dg hukuman sampai ada yg dikebiri tu dan mengapa makul tentang moral dan agama dikampus malah dihilangkan jk tujuan tuk menghindari pemerkosaan ,positif,"['m', 'indra', 'kenapa', 'menrisex', 'yg', 'bikin', 'payung', 'hukum', 'apa', 'dah', 'gak', 'percaya', 'dg', 'hukum', 'yg', 'ada', 'bahwa', 'pemerkosa', 'dg', 'hukuman', 'sampai', 'ada', 'yg', 'dikebiri', 'tu', 'dan', 'mengapa', 'makul', 'tentang', 'moral', 'dan', 'agama', 'dikampus', 'malah', 'dihilangkan', 'jk', 'tujuan', 'tuk', 'menghindari', 'pemerkosaan']","['m', 'indra', 'menrisex', 'payung', 'hukum', 'dah', 'gak', 'percaya', 'hukum', 'pemerkosa', 'hukuman', 'dikebiri', 'makul', 'moral', 'agama', 'dikampus', 'dihilangkan', 'jk', 'tujuan', 'tuk', 'menghindari', 'pemerkosaan']","['m', 'indra', 'menrisex', 'payung', 'hukum', 'dah', 'gak', 'percaya', 'hukum', 'perkosa', 'hukum', 'kebiri', 'makul', 'moral', 'agama', 'kampus', 'hilang', 'jk', 'tuju', 'tuk', 'hindar', 'perkosa']",m indra menrisex payung hukum dah gak percaya hukum perkosa hukum kebiri makul moral agama kampus hilang jk tuju tuk hindar perkosa,1.0
73,73,bapak yg dri pks pelacur itu suka sama suka masa mau di hukum bapak harus bedakan lah antara orang yg tidak suka klo pelacuran itu jelas hukuman nya neraka sedangkan klo yg di paksa ada salah satu korban yg di rugikan sedang klo yg suka sama suka itu saling di untungkan ,netral,"['bapak', 'yg', 'dri', 'pks', 'pelacur', 'itu', 'suka', 'sama', 'suka', 'masa', 'mau', 'di', 'hukum', 'bapak', 'harus', 'bedakan', 'lah', 'antara', 'orang', 'yg', 'tidak', 'suka', 'klo', 'pelacuran', 'itu', 'jelas', 'hukuman', 'nya', 'neraka', 'sedangkan', 'klo', 'yg', 'di', 'paksa', 'ada', 'salah', 'satu', 'korban', 'yg', 'di', 'rugikan', 'sedang', 'klo', 'yg', 'suka', 'sama', 'suka', 'itu', 'saling', 'di', 'untungkan']","['dri', 'pks', 'pelacur', 'suka', 'suka', 'hukum', 'bedakan', 'orang', 'tidak', 'suka', 'pelacuran', 'hukuman', 'neraka', 'paksa', 'salah', 'korban', 'rugikan', 'suka', 'suka', 'untungkan']","['dri', 'pks', 'lacur', 'suka', 'suka', 'hukum', 'beda', 'orang', 'tidak', 'suka', 'lacur', 'hukum', 'neraka', 'paksa', 'salah', 'korban', 'rugi', 'suka', 'suka', 'untung']",dri pks lacur suka suka hukum beda orang tidak suka lacur hukum neraka paksa salah korban rugi suka suka untung,0.0
74,74,klo undang undang poligami mungkin pks yg setuju duluan ,positif,"['klo', 'undang', 'undang', 'poligami', 'mungkin', 'pks', 'yg', 'setuju', 'duluan']","['undang', 'undang', 'poligami', 'pks', 'setuju', 'duluan']","['undang', 'undang', 'poligami', 'pks', 'tuju', 'duluan']",undang undang poligami pks tuju duluan,1.0
75,75,tujuaannya untuk mencegah kekerasan seksual kok malah digoreng melegalkan perzinaan otaknya orang orang pks yang perlu dibersihkan tambah usia kok tambah tumpul ya otaknya politisi pks kalau ada dosen yang jadi penjahat kelamin sebaiknya langsung dikebiri atau dirajam saja dunia pendidikan tinggi sangat direndahkan mana suaramu bapak bapak rektor jangan berlagak dungu atau kalian memang sudah dungu karena terlalu sering menempel nempelkan anumu lagi pula ngapain pak nadim ngurusin yang begituan pikirkan saja kebijakan untuk meningkatkan mutu perguruan tinggi kita kalau urusan beginian ini kasihkan saja pada pks pemegang pintu surga,positif,"['tujuaannya', 'untuk', 'mencegah', 'kekerasan', 'seksual', 'kok', 'malah', 'digoreng', 'melegalkan', 'perzinaan', 'otaknya', 'orang', 'orang', 'pks', 'yang', 'perlu', 'dibersihkan', 'tambah', 'usia', 'kok', 'tambah', 'tumpul', 'ya', 'otaknya', 'politisi', 'pks', 'kalau', 'ada', 'dosen', 'yang', 'jadi', 'penjahat', 'kelamin', 'sebaiknya', 'langsung', 'dikebiri', 'atau', 'dirajam', 'saja', 'dunia', 'pendidikan', 'tinggi', 'sangat', 'direndahkan', 'mana', 'suaramu', 'bapak', 'bapak', 'rektor', 'jangan', 'berlagak', 'dungu', 'atau', 'kalian', 'memang', 'sudah', 'dungu', 'karena', 'terlalu', 'sering', 'menempel', 'nempelkan', 'anumu', 'lagi', 'pula', 'ngapain', 'pak', 'nadim', 'ngurusin', 'yang', 'begituan', 'pikirkan', 'saja', 'kebijakan', 'untuk', 'meningkatkan', 'mutu', 'perguruan', 'tinggi', 'kita', 'kalau', 'urusan', 'beginian', 'ini', 'kasihkan', 'saja', 'pada', 'pks', 'pemegang', 'pintu', 'surga']","['tujuaannya', 'mencegah', 'kekerasan', 'seksual', 'digoreng', 'melegalkan', 'perzinaan', 'otaknya', 'orang', 'orang', 'pks', 'dibersihkan', 'usia', 'tumpul', 'otaknya', 'politisi', 'pks', 'dosen', 'penjahat', 'kelamin', 'langsung', 'dikebiri', 'dirajam', 'dunia', 'pendidikan', 'direndahkan', 'suaramu', 'rektor', 'jangan', 'berlagak', 'dungu', 'dungu', 'menempel', 'nempelkan', 'anumu', 'ngapain', 'nadim', 'ngurusin', 'begituan', 'pikirkan', 'kebijakan', 'meningkatkan', 'mutu', 'perguruan', 'urusan', 'kasihkan', 'pks', 'pemegang', 'pintu', 'surga']","['tujuaannya', 'cegah', 'keras', 'seksual', 'goreng', 'legal', 'zina', 'otak', 'orang', 'orang', 'pks', 'bersih', 'usia', 'tumpul', 'otak', 'politis', 'pks', 'dosen', 'jahat', 'kelamin', 'langsung', 'kebiri', 'rajam', 'dunia', 'didik', 'rendah', 'suara', 'rektor', 'jangan', 'lagak', 'dungu', 'dungu', 'tempel', 'nempelkan', 'anu', 'ngapain', 'nadim', 'ngurusin', 'begitu', 'pikir', 'bijak', 'tingkat', 'mutu', 'guru', 'urus', 'kasih', 'pks', 'pegang', 'pintu', 'surga']",tujuaannya cegah keras seksual goreng legal zina otak orang orang pks bersih usia tumpul otak politis pks dosen jahat kelamin langsung kebiri rajam dunia didik rendah suara rektor jangan lagak dungu dungu tempel nempelkan anu ngapain nadim ngurusin begitu pikir bijak tingkat mutu guru urus kasih pks pegang pintu surga,0.0
76,76,tujuan permendikbud ini sebenarnya bagus namun ada poin penting khususnya pada pasal  ayat  yg menjadi kontro versi dan menimbulkan multi tapsir jika memang masih bisa direfisi sebaiknya direfisi saja,netral,"['tujuan', 'permendikbud', 'ini', 'sebenarnya', 'bagus', 'namun', 'ada', 'poin', 'penting', 'khususnya', 'pada', 'pasal', 'ayat', 'yg', 'menjadi', 'kontro', 'versi', 'dan', 'menimbulkan', 'multi', 'tapsir', 'jika', 'memang', 'masih', 'bisa', 'direfisi', 'sebaiknya', 'direfisi', 'saja']","['tujuan', 'permendikbud', 'bagus', 'poin', 'pasal', 'ayat', 'kontro', 'versi', 'menimbulkan', 'multi', 'tapsir', 'direfisi', 'direfisi']","['tuju', 'permendikbud', 'bagus', 'poin', 'pasal', 'ayat', 'kontro', 'versi', 'timbul', 'multi', 'tapsir', 'direfisi', 'direfisi']",tuju permendikbud bagus poin pasal ayat kontro versi timbul multi tapsir direfisi direfisi,1.0
