,Komentar,Label
133,"Sekalian pak nadiem, kurikulum pendidikannya ditambahi pelajaran ""cara seks bebas dan merayu pelacur"". ??????. Hukum negara semakin hari semakin mjd korban ""YG DIATUR"" bukan yg ""MENGATUR"".",netral
134,Entah apa yg merasukimu,netral
135,Turuuut menyimaak ????,netral
136,"Direvisi Aja, kata GUS DUR: ""Gitu aja kok repot.""",negatif
137,"MUHAMMADIYAH, IKADI, & MUI (Khususnya dari Prof. K.H. Cholis Nafis) tegas menolak dan suruh cabut Permendikbudristek No. 30 Th. 2021. NU suaranya mana?! Oh, iya. Sudah diwakili Prof. K.H. Cholil Nafis.",negatif
138,PKS mana uu poligami blm turun,netral
139,"Negara bisa di truskan anak2 hasil zina,baguslah dimcok",netral
140,"kalangan perguruan tinggi gak.ada yg nolak....
dan sejak kapan orang jadi berzina karena peraturan menteri.",positif
141,Pak Cecep bicaranya kurang jelas ...,netral
142,Klu soal selangkangan PKS cepat tangap....??,netral
143,"Kalau PKS sdh kritik pasti permen nya sdh benar, lanjutkan mas menteri",positif
144,"Ingat anggota PKS yg nonton bokep di ruang sidang???bwahaha PKS mau membela kasus kekerasan pada perempun??? Mprettt urusin aja kader2mu yg kampanye poligami, nggak semua perempuan dapat menerima poligami, itulah kalian diskusikan dulu...
Cari sensasi aja....jalankan aja UUnya, supaya cepat ada tindakannya sambil jalan diamati dan direvisi jika perlu...
Kakehan ngoceh",negatif
145,Legalkan zina:v pen jadi kek Jepang kali:v,netral
146,Kalo spt ini justru nantinya byk kasus aborsi efek hamil diluar nikah,netral
147,Peraturan itu sdh benar dan tepat. Kekerasan seksual harus dilawan dan dibrantas.,positif
148,"Tanda2 akhir zaman 
Naudzubillah",netral
149,Innalilahi wa inalilahi rooji'uun,netral
150,Moga aja oenggagas UU anak istrinya jadi korban dan plaku2 zina dan sek bbas..Aamiin,negatif
151,tidak mas. ini mah beda kasus dan beda senjata. kalau masalah kekerasan seksual di lingkungan kampus bisa ditembak pake permendikbudristek ini. kalau ngomongin tindakan seksual yang atas persetujuan kedua belah pihak di kampus (tindakan asusila) itu bisa pakek peraturan-peraturan di kampus (pasti ada peraturan yang melarang tindakan asusila di kampus) atau kode etik dosen (misal pelaku adalah dosen) terus juga ada di KUHP. jadi senjatanya harus disesuaikan. memang permendikbudristek ini gk bisa menindak pelaku asusila karena bukan ranahnya tapi ada mekanisme hukum lain yang jadi patokannya. kalau gitu sih aku nangkepnya dari berbagai perbincangan mengenai hal ini. jadi jangan bahas hal yang diluar konteks,positif
152,Jikalau korban di ancam agar dia ngomong atas dasar suka sama suka trus yg di penjara siapa ? Korban atau keduanya ?,netral
153,Nah itu. Klo ada yg kurng2 bisa diusulkan,netral
154,"kyk RUU PKS, direvisi entah mau nunggu korban bertambah sampe berapa banyak baru selesai~",netral
155," @Rifki Fauzi  iya, kelamaan. Giliran yg lain ngusulin ruu malah dikritisi.",netral
156,Anda benaaar.,netral
157,"betul bro, urusan ginian PKS ga nyampe nalarnya hahha jadi oposisi payah malah lemot",netral
158,Setuju wkwk,positif
159,Akhirnya Indonesia bisa maju kaya Jepang ga terus2an jadi Islamabad terbelakang.,netral
160, @Riza-kun  yang ada kena azab,netral
161," @xmbelgedesh  mitos yang cuma digaungkan kelompokmu. Kalo ""pondasi"" khayalan itu benar ada dan bukan cuma teori harusnya keliatan buktinya dari perbandingan negara-negara.",netral
162," @Riza-kun  makanya pahami pancasila dulu, khususnya yg pertama. ???????? jgn buka blue2 terus!!! Next, silahkan tanya ke pemimpinmu dan kawan2nya knp kok lebih mendahulukan ""materi"" drpd ""pondasi"" ?",netral
163," @xmbelgedesh  Yang ga paham pancasila itu dimana-mana kadrun ya, bukan kami. Soalnya make argumen ""ketuhanan"" pada aturan hukum agama menjadi hukum praktis adalah ideologi hukum syariat kaya di Arab, bukan Pancasila kaya di Indonesia.

Kalau iya begitu cara menggunakan Pancasila maka bank konvensional harusnya ilegal juga dong karena kata qur'an riba itu haram, kata injil juga bilang ursury itu haram. Tapi kan tetep aja ga ilegal, karena di ideologi demokrasi agama dan dosa urusan masing2 bukan urusan negara meng-ilegalkannya. Kita negara demokrasi bukan syariat. Pancasila itu demokrasi bukan syariat. Moga ngerti ya drun.",netral
164,Pasal mana yang dapat menyebabkan aborsi. Orang permendikbud ini tentang pencegahan dan penanganan kekerasan seksual kok digiring ke pelegalan zina.,netral
165,Klo zina dilegalkan tanda2 hari kiamat ??,netral
166,Kalau nnti hamll dluaar nikaah buru2 bilang sdh nikaah siriii??ikutan cara2 celeng nyari pembenaran n pembelaan..!!Pkoknya kitaa ikuti fatwa partai lurus dan  wakl Ketua MUI..soal UU bakal llos krna mreka mrasa kuat dan bkuasa silaaahkan apadaya rakyt ..tp sbg rakyt ada hak juga bdoa jikaaa bnar ituu maka smogaaa anak cucu istri mreka adalah pelaku dan korban2 sek bbas ..hamil brulang2 dluar nikah yg ga jlas siapa yg mnghamili ..dan istri mreka ga malu mlakukan sek bbas ddpan mreka skalipun nnti..demi mematuhi yg katanya UU,netral
167," @Dewi Sriyati12  ngedongeng apa sih bu?. Kyknya gk paham apa yg bahas taunya teriak aja apa yg dia dukung lgi teriakin, tapi gak paham apa substansi yg dibicarakan ckckck",netral
168," @Dewi Sriyati12  kasian nih ibu, kalah debat, nyerang personal. Pahami dulu ibu, jgn lgsg kemakan berita gorengan...??????????",netral
169,"Gak ada tu, lha soal aborsi udah ada UU khusus yang melarang kecuali atas rekomendasi dokter ??",netral
170,Logika liar. Kalau saya ga mau seks bebas ya ga. Ini moral masing2. Kok nyalahin permen?,netral
171,"Saya mendukung sepenuhnya dengan syarat frasa ""dengan persetujuan korban"" dihapus. Karena Permendikbud ini bentrok dengan peraturan undang² tentang asusila, tidak bisa dinamakan ""korban"" kalau si korban itu menyetujui dari si pelaku kekerasan seksual. Asal suka sama suka berarti tidak masalah bukan ¯\_( ?° ?? ?°)_/¯ , seks bebas dilegalkan boleh melalui permendikbud 30 tersebut akan tetapi kontra dengan UU tentang asusila lainnya. Disitulah permasalahannya.",positif
172,"mau keras mau lembut, selama belum sah tetap harus di cegah, ingat sila pertama ketuhanan yg maha esa!artinya aturan agama lebih di utamakan!",netral
173, @Dian chanel  agama apa bro?,netral
174,bukannya sejak wafatnya nabi muhammad sudah dikategorikan ke akhir zaman ? jadi sejak nabi wafat hingga sekarang dan beberapa tahun kedepan itu sudah masuk ke akhir zaman,netral
175,"Lho, memangnya anda mendukung pelaku kekerasan seksual dinyatakan tidak bersalah, gitu?",positif
176,Kalimat mana yang menunjukan bahwa zina dilegalkan dari permendikbud ini bu?,netral
177,biasanya yang nyumpahin gini balik ke orang yang ngucap sih,netral
178," @Muhammad Dzulfiqar  , ok lah anda menganggap Permendikbudristek no 30 tahun 2021 gak melegalkan zina. Dan juga. Permendikbud no 30 tahun 2021 sudah ditandatangani Mendikbudristek. Maaf sebelumnya,  seandainya ada mahasiswa mencium mahasiswi secara tertutup di kampus. Tapi mahasiswi tersebut setuju & perbuatan mereka ketauan sama lainnya, apa perbuatan mereka termasuk dalam pelanggaran & dapat ditindak lanjuti menurut Permendikbudristek no 30 tahun 2021 ? ??",netral
179, @Muhammad Farhan  ini peraturan pencegahan dan penanganan kekerasan seksual atau tentang aturan tindakan asusila di kampus? Itu dua hal yg berbeda. Ketika tidak ada kata persetujuan bahkan yg harusnya menjadi korban akan ikut dihukum juga karna semua tindakan tersebut adalah asusila yg dilarang jika tanpa ada kata persetujuan. Jika kata itu dihapus maka yg harusnya menjadi korban tindakan kekerasan seksual akan dapat ikut dihukum baik diamenyetujui atau tidak tindakan tersebut. Maka tidak ada perlindungan lagi kepada yg harusnya menjadi korban karna semua dapat dihukum karna berada pada tindakan asusila yg dilarang. Maka tidak ada lagi korban kekerasan seksual yang ada semua pihak yg terlibat dalam tindakan asusila baik di menyetujui perbuatan tersebut ataupun dia sebagai korban pemaksaan akan dihukum sama dengan dia yang seharusnya menjadi pelaku kekerasan seksual.,negatif
180,"Assalamualaikum @Muhammad Dzulfiqar  , iyaa saya tau Permendikbudristek no 30 tahun 2021 adalah permen penanganan & pencegahan seksual. Maaf ya , Permendikbud no 30 tahun 2021 terdapat frasa "" tanpa persetujuan korban"" dalam pasal 5. Maka dari itu, apabila ada mahasiswa mencium bibir mahasiswi  pacarnya & menggosokkan kelaminnya pada mahasiswi pacarnya secara tertutup di kampus . Tapi mahasiswi pacarnya setuju & perbuatan mereka   ketauan , maka bukan pelanggaran & gak dapat ditindaklanjuti , karena mahasiswi pacarnya setuju menurut Permendikbudristek no 30 tahun 2021. Berbeda jika mahasiswi pacarnya gak setuju, maka termasuk pelanggaran & dapat ditindak lanjuti menurut Permendikbudristek no 30 tahun 2021. Maaf sebelumnya, kejahatan  & kekerasan seksual akibat & berawal dari hubungan, perbuatan, kegiatan, tindakan seksual yg bertentangan nilai & norma (termasuk nilai & norma agama) yg merupakan akar masalah kekerasan & kejahatan seksual. Terimakasih, wassalamu'alaikum ????",netral
181," @Muhammad Farhan  permnedikbudristek 30 saya ulangi berfokus pada penanganan dan pencegahan kekerasan seksual berlatar belakang banyaknya kekerasan seksual yang pada akhirnya tanpa ada penyelesaian dan keadilan pada korban kekerasan seksual di kampus"" yang sudah sangat banyak terjadi tanpa adanya penyelesaina dan perlindungan terhadap korban. Dengan adanya permendikbudristek tersebut dapat sedikit membantu menyelesaikan masalah kekerasan seksual yang terjadi di kampus"".  Mengenai studi kasus yang anda sampaikan kira"" kasus tersebut tindakan kekerasan seksual atau tindakan asusila?. Ketika membicarakan suatu kekerasan berarti terdapat korban, korban artinya orang yang dirugikan bukan dan adanya pelaku yang menyebabkan kerugian?. Jika sama"" setuju apakah tindakan tersebut terdapat korban dan pelaku?. Tindakan asusila dikampus saya rasa sudah ada kode etik masing"" kampus terkait tindakan asusila dan sudah ada di KUHP dan UU perlindungan anak. Lain cerita jika permendikbudristek no 30 ini bertujuan mengatur tindakan asusila pada lingkungan kampus itu hal yg berbeda lagi. Jadi dimana letaknya pelegalan zina di aturan ini?.",positif
182,"Assalamualaikum @Muhammad Dzulfiqar  , maaf RUU KUHP zina belum disahkan. Maaf saudaraku,  seandainya ada mahasiswa yg mencium  bibir mahasiswi pacarnya & menggosokkan kelaminnya pada bagian tubuh mahasiswi pacarnya secara tertutup di kampus. Tapi mahasiswi pacarnya setuju & ketauan sama lainnya, apa  pebuatan mahasiswa tersebut termasuk pelanggaran & dapat ditindak lanjuti menurut Permendikbudristek no 30 tahun 2021 sendiri ? Maaf saudaraku , RUU KUHP perzinahan belum disahkan.????",netral
183, @Muhammad Farhan  permendikbudristek 30 mengatur tentang penanganan dan pencegahan kekerasan seksual dikampus bukan mengatur tindakan asusila dikampus yang lahir dari latar belakang yg telah saya sampaikan diatas. Studi kasus anda sudah saya jelaskan menurut pandangan saya diatas. Secara jelas belum ada yg mengatur tentang tindakan asusila di indonesia. Permendikbudristek 30 juga tidak ada pelegalan zina.,positif
184,"Assalamualaikum @Muhammad Dzulfiqar  , maaf apabila ada mahasiswa mencium bibir mahasiswi secara tertutup & dengan persetujuan orang terkait di kampus . Apa perbuatan mahasiswa tersebut termasuk pelanggaran & dapat ditindak lanjuti menurut Permendikbudristek no 30 tahun 2021 sendiri ? Maaf yaa, saya bicara Permendikbud no 30 tahun 2021 & bukan peraturan lainnya. Terimakasih, wassalamu'alaikum ??",netral
185,"Assalamualaikum @kodill chanell  ,maaf apabila ada mahasiswa mencium bibir mahasiswi  secara tertutup & dengan persetujuan orang terkait di kampus . Apa perbuatan mahasiswa tersebut termasuk pelanggaran & dapat ditindak lanjuti menurut Permendikbudristek no 30 tahun 2021 sendiri ? Maaf yaa, saya bicara Permendikbud no 30 tahun 2021 & bukan peraturan lainnya. Terimakasih, wassalamu'alaikum ??",netral
186, @Muhammad Farhan  studi kasus sudah saya jawab ya sebelumya. Terimakasih.,netral
187,"Bingung sendiri ketika tak paham syariat ???????
#risikoBERIKHTILATH",netral
188,"3 minggu yang lalu, pas gue sholat jumat, imam khotbahnya kaya begini nih... tabayun, baca bener2, baca kasus2 aja belum. Udah main klaim ini Permendikbudristek melegalkan zina. Hadeh.... nyesel gue jumatan.",negatif
189,mengmangtap waktunya kentu...,netral
190,"POLA PEMIKIRAN SEMPIT

JANGANKAN SEKS BEBAS, BUDAYA OPEN BO DI KALANGAN MAHASISWI BANYAK KOK


BANYAK TUH TEMEN ANE AYAM KAMPUS TERUTAMA DI KAMPUS UIN

PAGINYA BERKERUDUNG

MALAMNYA BUKA WARUNG",negatif
191,"Perdebatan ini konyol sekali. Jelas2 tujuannya utk pencegahan kekerasan seksual. Kekerasan seksual hoiii. Jadi mana yg termasuk atau ga termasuk.
Kalau mau ngomong masalah seks bebas, tinggal buat peraturan baru tentang kode etik perguruan tinggi dgn sanksinya..
Duh, alasan penolakannya terdengar goblok sekali..",positif
192,"Melegalkan zina?
Ya kalian cari cari selangkangan mulu.",negatif
193,"Yg bilang permen ini melegalkan sex bebas, fix orng"" yg males baca, dan kalaupun baca sesuai nafsu mreka",negatif
194,"Ibarat kita pasang peringatan ""Dilarang kencing di sini"", terus dianggep boleh BAB.

LOGIKANYA MANA, WHYYYYYYPOSISI",negatif
195,Buset ini suara fattah wnf1? Nyampe sini juga euy wkwk,netral
196,"Dari dulu MUI cuma bisa nolak2 + ngritik doang
Dari dulu banyak kasus homo, pencabulan di pondok. kdrt, perkosaan dll MUI sampe skrng ayem2 aja ga nerbitin fatwa atau aturan

Giliran ada yng peduli malah dibantah mentah2",negatif
197,Gini klo pasal ini acc.. para ustad/habib mesum g bisa apa2 lagi,negatif
198,Mungkin anggota permendikbud otaknya ngeres semua,negatif
199,Lah ini saya di kampus samping orang pacaran apa harus saya laporkan ke dua orang ini melakukkan kegiatan zina di kampus ?,negatif
200,Kebiasaan indonesia gak bisa paham konteks,negatif
201,NANTI HAMIL NANGISS !!,negatif
202,"Seringkali orang salah fokus dengan apa yang di tetapkan oleh pemerintah, apakah ini benar benar kesalah fahaman atau intrik politik untuk menjatuhkan dan memberi kesan buruk? Seharusnya sebagai politisi, tokoh publik apapun itu berusaha untuk objektif menilai dan memahami sesuatu demi kemajuan bangsa bukan untuk unjuk identitas bahwa dialah yang harus didengarkan!",negatif
203,"justru dengan adana permen ini memberikan perlindungan buat korban untuk berkata tidak ketika ada pelecehan seksual karena sudah dilindungi secara hukum sekarang, apalagi udah jelas garis-garis terkait tindakan apa aja yang termasuk ke dalam pelecehan seksual",positif
204,"Yang menjadi poin disini adalah seharusnya pemerintah menutup segala hal yang mengarah kearah seksual (zina). Kalo dgn permen ini bsa menaggulangi kekerasan seksual, lalu nanti bagaimana dengan pergaulan bebas di ranah pemuda khususnya mahasiswa. Nahh itu harusnya juga dipikirkan, bagaimana jika nntinya ada kasus2 lain yg berhubungan dgn seksual. Melihat keadaan pemuda yg saat ini seperti tidak ada batasan norma dalam bergaul hidup sebebas bebasnya. Sungguh jauh dari norma2 beragama",netral
205,Pelecehan sesk itu banyak yg dibujuk dan akhirnya mau dari pada yg diperkosa karna jalan terakhir karna ga mau.,negatif
206,Orangnya aja culun y gtu,netral
207,audio editingnya jelek sekali,netral
208,"Masak frasa atas persetujuan pribadi itu diganti atas ijin partai-mu? beri solusi frasa yang baik, jangan memprotes atau membelokkan kata yang sepertinya sudah cocok untuk digunakan, dan jangan semudah nuntut untuk dihapus, itu solusi cetek.",positif
209,"Kata2 diganti,selama menteri nya bukan dr kadrun pasti digoyang terus,lihat pariwisata sekarang adem kan? seorang Wisnutama yg hebat aja tdk berkutik JD menteri,karena sekelilingnya kadrun semua",netral
210,"Yang protes dan cari celah tolol, udah tau konteks nya UU untuk kekerasan seksual, PAHAMI FOKUS UU NYA DIBUAT UTK APA. kalau permasalahan perzinaan atau perselingkuhan itu beda lagi dan sudah ada KUHP nya..... Kalau tolol dari lahir memang susah",positif
211,Yang menolak memiliki pemikiran konsevatif fundamental wkwkwwkwk,positif
212,"Kritik: Emang pelecehan seksual ada yang gak dilakukan tanpa kekerasan dan hasil persetujuan orang lain?

Opini; yang namanya pelecehan, verbal & non verbal mungkin yang panjenengan maksud, sudah pasti kekerasan dan orang macem apa yang ngasih persetujuan ke orang lain buat dilecehkan?",positif
213,"Mengembangkan pola pikir aneh dan dangkal memang cara mereka dalam menolak PPKS, mereka selalu menggunakan logika terbalik dalam berargumen menolak hal yg mereka tidak suka ?? rata2 mereka adalah pengikut Partai Kekerasan Seksual",positif
214,Mendi diem aja borr drpd resiko ???? udh serah indonesia nantinya jd apa bodoamat,netral
215,"Apa susahnya hapus diksi ""tanpa persetujuan korban"".   Yang nama nya korban pasti g setuju.",negatif
216,"Melegalkan zinah? Pasal zinah di KUHP aja syaratnya salah satu pelaku harus dalam hubungan pernikahan, mirip seperti aturan selingkuh memang. Lalu kalau para pelaku belum menikah? Ya tak bisa dijerat hukum pasal zinah. Bisa gak KUHP ini dibilang melegalkan zinah?  So, kalau masalah multi tafsir, pasal yang udah jelas aja bisa ko ditafsirkan lain. Wkwk",negatif
217,"kamu gak lulus ya untuk ujian matkul ""A"", kamu ujian ulang, temui bapak di oyo, kalo kamu gak mau, kamu gak bakalan lulus (pengalaman pribadi, mantan gua di ancem gitu)",netral
218,"Gampang saja. Tinggal hapus kata ""Tanpa Persetujuan"". Selesai urusan",negatif
219,Wah kacau,netral
220,"Niatnya baik, jalannya keliru. Kalau mereka mau zina jadi ilegal atau bisa dipidanakan, ya usahakan agar diatur di KUHP, jangan mendompleng masalah kekerasan seksual yang riil dan urgent. Pertama RUU P-KS, skrg Permendikbud ini, apapun niatnya tindakannya jelas2 menghambat.",positif
221,"Berarti norma/agama/aturan kampus & masyarakat blm kuat? Perlu dibuatkan peraturan berbeda dengan fokus Zina / seks di luar nikah?

(Terus peraturan Zina ini isinya apa? Hukuman, kriteria, definisi, dlsb)",netral
222,Fokusnya permennya aja tentang kekerasan seksual bukan zina secara umum.,positif
223,Partai korupsi sapi berkedok holaqoh juz amma,netral
224,"Makanya belajar hukum om biar tau, baca produk hukum bukan seperti baca novel.",negatif
225,"kalo ada persetujuan, itu bukan kekerasan seksual, perbuatan seks diluar nikah itu BUKAN KEKERASAN SEKSUAL, tapi perbuatan yang melanggar norma agama, makanya kalo baca tuh yang bener.",positif
226,"Toh consent itu bukan hal baru di indonesia, mengambil barang orang tanpa izin (consent) bisa dikategorikan sebagai tindakan pencurian.",negatif
227,Woahh parah anjir,netral
228,apakah sudah diberitahukan ke pihak sekolah atau kampus?,netral
229," @Aldo Binar  udh clear bro, dosennya udh di depak sm pihak kampus, yg penting ada bukti aja dari percakapan tsb.",positif
230,"Udh baca uu nya? Klo dihilangkan kata tanpa persetujuan maka bisa dikategorikan pelecehan seksual setelah ada kontak fisik, tp klo ada kata tanpa persetujuan maka ketika pelaku baru menawarkan transaksi seks, misal lu ditawarin dosen nilai A tp minta lu foto telanjang, baru verbal lu udh bisa jd kan alat lapor, karena transaksi yg dilakukan tanpa persetujuan lu, gw lihat lu make foto ginian pasti kemampuan pemahaman seharusnya udh diatas rata2 dong",netral
231," @Alluxes S  ohh,, jadi sebelum ada permen ini kalo dosen nawarin seks aman ya bro?? gak bisa dijadiin alat bukti??",netral
232," @awi asnawi  gak bisa selama belum ada kontak fisik, teman gw dlu korban 2, kita mau laporin pun apa yg bisa dilakukan dan dasar apa, Makanya dalam permendikbud bahkan catt calling aja bisa dianggap pelecehan,",positif
233," @Alluxes S  mereka kurang literasi, tapi pas diedukasi malah nyerang balik.",negatif
234," @Aufa Billah  selain kurang literasi mereka ini juga tipe org yg mikirnya ngeres mulu bro, jd susah memproses positif informasi yg berkaitan dengan seksual,",negatif
235," @Alluxes S  iya benar, apa-apa dikaitkan dengan pro zina. 1 pasal kok dibebankan untuk seluruh perbuatan asusila, ada-ada aja cara berfikirnya.",negatif
236,"Pelecehan verbal itu udh ada pasalnya
315 KUHP dan 289 - 296 KUHP
Itu udh pelecehan verbal tanpa ada sentuhan ato secara interface",negatif
237,"Pendapat saya,   zina atas sadar suka sama suka tanpa Ada tekanan & Kekerasan maka perzinahan tidak akan terjadi. Perbutan ini membutuhkan tekanan & kekerasan",positif
238,"Judulnya bagus, isinya melegalkan kekerasan, tolong dibaca isinya dengan teliti pak mentri",positif
239,"Tujuannya baik, tapi bagaimana mas mentri menjawab frasa dalam permendikbud tentang ""tanpa persetujuan"" , artinya kalau dilakukan dengan persetujuan maka dibolehkan?",positif
240,"Banyak bacot nadiem, jelas salah ngeyel lo",negatif
241,Munkin makarim sukak sex,negatif
242,"Makanya hrs nya kl terjadi kekerasan Sex pd wanita apapun alasan nya kl terbukti disetubuhin perempuan harus laki laki yg di hukum berat. Walaupun perempuan yg ngasi barang nya kl laki laki menjaga Jakar nya pasti tdk akan terjadi. Apalagi kl Guru, polisi melakukan kekerasan sex harus di pecat dan hukum seumur hidup.",positif
243,"Mengapa tokoh wanitanya diam terus ,ada apa?",netral
244,"Ngenyel banget sih para kadrun ama permendikbud ini, tujuannya udah jelas untuk melindungi korban dari kekerasan seksual di lingkungan perguruan tinggi. Di dalam Permendikbud itu tidak mengarah ke Zina.
Hadehh hadeh… bikin negara yang saya sayangi ini jadi ribet.
Kalau ngomongin peraturan Zina, sono usul ke DPR, untuk dibuat peraturannya. Jangan disangkut pautkan ama ruang lingkup konteks Permendikbud 30 Tahun 2021 ini.",negatif
245,Klo begitu supaya tidak terjadi hal-hal yg tidak diinginkan dipisah saja kelas khusus laki-laki dan kelas khusus perempuan macam gerbong kereta itu.,netral
246,kali ini mahasiswa menolak di tunggangi ulama2 kadron  otak mesum  yang selalu memahami salah permendikbud katanya melegalkan sek bebas dan LGBT @,negatif
247,Udah diperintahkan beliau pak Presiden Jokowi yang tanggung jawab para pendidiknya.,netral
248,"Semangat itu kita hargai ttp mslhx adh norma yg tertulis terhadap frasa ""dengan persetujuan"" itulah bukti legalx sex dgn persetujuan.",positif
249,"Kalau tubuhmu di bungkus seperti permen lollipop siapa yg gak tergiur? Udah di bungkus juga masih kelihatan bentuknya, ya kan?

Makanya di TUTUP bukan di BUNGKUS paham sampai sini mahaciwi?",positif
250,"Ojk ga berani tutup pinjol yg legal...pdhl praktek nya bunga pinjol legal tinghi bngt...
Mungkin ojk merasa ngga pernah dirugikan oleh pinjol...jadinya ngga penting bngt mikirin pinjol..
Bahasa lampau mengatakan :
"" Emang guwe pikirin ? """,netral
251,"Real bgt kekerasan seksual dikampus sdh darurat sekali..
Kenapa ada oknum yg tdk setuju dg Permendikbud ini... Dg alasan konotasi kata menghalalkan zina...
Tragis sekali negri ini",positif
252,"ini bikin RUU jangan disamain kyk bikin apps dong hehe.. kata2 bukan tanpa persetujuan, mirip waktu kita baru install apps baru di smartphone hihihi..",netral
253,Permendikbudristek ini udah pantas di terapkan namun klu dengan cara pemaksaan dan kekerasan alias pemerkosaan nggak bisa di benarkan  terkecuali keduanya sama sama suka dan sama sama senang. Bisa di terapkan permennya.  Begitu pak. Terapkan saja asalkan sesuai dengan kaidah kaidah hukum dan norma norma kesopanan alias jangan di pertontonkan.,positif
254,Hadeh bagai mana kalo akhirnya mereka jadi LGBT bukan gak mungkin asal tau aja Bahkan di tempat sekelas pesantren aja Banyak LGBT cuma diem diem aja.,negatif
255,Mau tanya buktinya apa saya sendiri merasakannya teman saya di pesantren ada yang jadi belok karena tidak pernah melihat lawan jenis bahkan NARAPIDANA juga seprrti itu.,netral
256,"??????efek menteri asal comot  
Gak jelas, mungkin gak ada orang pandai di indonesia",netral
257,Mentri juga harus musyawarah ma mui NU muhamdiah biar deal .... Jangan asal 1 aj comot ??????,netral
258,"Ancur nya iman ancur ahklak norma2... 
Yg d tekan semua yg terkait nya ga becus ngajar ngedidik  .. murid nya melanggar pecat aja... Kasian disen yg bener murid yg bener ?????? oknum nya yg harus d babad d musnahkan",negatif
259,Enak nih..klo suka sama suka bebas gak di pidana...kaya kucing kawin di mna aja...,netral
260,"Otak mesum menyerap frasa tanpa persetujuan yaitu berarti boleh melakukan kalo disetujui...??
Dalih seks bebas jadi tameng buat para kadrun otak mesum.
Apa yg membuat kontroversi itu hanya negatif saja otaknya? Ya iyalah....
Kalo konteks pelecehan dan kekerasan seks harusnya isi peraturan sudah benar. Kalo mau lari ke zina, Wani piro..? Itu sdh ada undang2 prostitusi jg... Jadi mau di bikin apa lagi?",negatif
261,"Kadrun doyan cabul gak terima, mereka gak bisa mesum lagi gara2 aturan itu.",negatif
262,"Dalam keadaan darurat,,, menyedihkan,,  dilakukan oleh Pendidik yang tidak terdidik.",negatif
263,Usul pak Mentri  klu BLH  maha siswa di waktu   ujian smester klu blm bisa blm uang dmester klu di blhkan  ttap mask ujian sesudahnya ttp bayar seluruh maha siswa seluruh Indonesia swasta maupun negeri demi situasi kopit pemulihan ekonomi org tua lg  susah cari mkn  cm usul mksh pak Mentri THN 21 dan 22 atau byr stengah seluru jgn pilih2 klu blm  ada uang klu di blhlkan ikut smseter atau ujian maha siswa mksih pak presiden,netral
264,Melancarkan bisnis hotel ????,negatif
265,dah dengan sangat hormat  mundur saja  .,negatif
266,"peraturan ini berada dalam konteks kekerasan seksual, bukan zina. Jadi beda konteks, beda juga peraturannya. Mohon disimak sebelum komentar. kata kekerasan itu sudah pas dengan istilah persetujuan. Jadi, sebenarnya peraturan ini sudah matang.",positif
267,"Peraturan Pelecehan sexual Nakarim  dibikin celah utk sex bebas.akal2an aja hasil survey 
Nanti korbannya yg rugi",negatif
268,"Bagus pak nadiem, dgn peraturan ini gak ada lagi dosen cabul yg berani megang tangan atau pundak mahasiswinya TANPA IZIN, 
ga ada lagi dosen genit yg manggil mahasiswinya sayang atau i love you TANPA IZIN MAHASISWINYA,  

Karena kalau tdk dgn kata TANPA IZIN, dosen cabul itu akan berdalih hanya memegang tangan saja,hanya bergurau, hanya memfoto, dan ga akan bisa dipidana. 
Tapi dgn permen ini dosen cabul bakal gemeteran, takut utk beraksi, karena salah sedikit saja kalau TANPA IZIN mahasiswinya,  dosen cabul bisa kena pidana pelecehan seksual.",positif
269,"Permendikbudristekdikti 30/2021 jelas ada pasal yang membolehkan zina, maka harus direvisi pasal tersebut karena bertentangan dengan Pancasila sila 1 yaitu Ketuhanan Yang Maha Esa. Tujuan baik jangan melawan syari'at.",negatif
270,"Udh lah ganti aja menterinya sekolah pendidikan makin amburadul jaman skrg ,",negatif
271,hukum mati slesai. lama amat,netral
272,"Kita gawat daruat dikampus karenahukum tidak jalan, kalau Nadim makarim tidak mampu silakan mundur berikan kepada orang yang dianggap mampu ""sekali lagi kita ingatkan kampus adalah untuk memanusiakan manusia bukan untuk beternak pelacur.",negatif
273,ada untung besar di lobang hidung dan lobang pantat lumayan buat bayar hutang??,netral
274,"Kasian sekali padahal keluarganya islami bgt, eh dia dicomot sama Jaringan islam liberal??????",negatif
275,tapi kecebong tukang zina jadi bahagia ya bang kalo digerebek pas zina gabisa dijerat hukum??????,negatif
276,Kadrun ituh yg suka pake koteka ya bro,netral
277, @Myth Randir  zinahnya cebong dilindungi Negara,netral
278,"klo ngotot lanjut bisa meledak populasi di indonesia nie. 
Bakalan banyak anak hasil hubungan diluar nikah.",negatif
279,"Setiap orang beda pemahaman. Klu ada kata2 tanpa persetujuan, berarti klu setuju berarti boleh melakukan zina?",netral
280," @DIAS Channel  kalau setuju dan melakukan zina sudah tidak memakai aturan Permendikbud No 30, bisa di alihkan ke Undang undang yang mengatur tentang zina.",netral
281," @DIAS Channel  makanya dibaca baik-baik suupaya pemahamannya menyeluruh, gak setengah-setengah. Ingat konteksnya bro, muatan kata kekerasan itu mengandung persetujuan atau tidak, ini kan bukan undang-undang tentang zina. beuh!",positif
282, @Purnomo  benar sekali.,netral
